"Seq","n_Seq","Name","OName","RAdeg","DEJ2000","GLON","GLAT","Rco","Rcl","RV","e_RV","n_RV","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","N1s","Dist","E(B-V)","V-Mv","r_Dist","logt","o_logt","RVref","e_RVref","r_RVref","logtref","r_logtref"
1,0,"Berkeley 58","nan",0.01,60.96,116.73,-1.29,0.11,0.11,"nan","nan","nan",4.58,2.02,3.24,2.1,5.13,2.27,3,3715,0.55,14.56,1,8.2,-3,"nan","nan","nan",8.4,1.0
2,0,"Berkeley 59","nan",0.55,67.42,118.22,5.0,0.06,0.17,-6.5,6.5,2.0,-4.4,0.42,0.73,1.72,-4.18,1.55,3,1000,1.22,13.78,2,6.8,1,-15.0,7.6,1.0,"nan","nan"
3,1,"Blanco 1","nan",0.82,-30.14,14.17,-79.02,0.7,2.9,3.58,2.36,13.0,19.86,0.26,2.37,0.31,-2.15,-19.89,39,269,0.01,7.18,3,8.32,2,5.0,"nan",4.0,7.8,3.0
4,1,"Alessi 20","nan",2.64,58.76,117.64,-3.69,0.12,0.3,"nan","nan","nan",7.48,0.37,-2.61,0.5,6.97,-3.76,12,450,0.22,8.95,2,8.22,2,"nan","nan","nan","nan","nan"
5,0,"Mayer 1","nan",5.47,61.74,119.44,-0.93,0.08,0.2,-20.9,"nan",1.0,-5.27,0.73,-5.87,1.06,-5.91,-5.23,5,1429,0.4,12.02,1,7.74,3,"nan","nan","nan","nan","nan"
6,0,"Stock 20","nan",6.31,62.62,119.92,-0.1,0.07,0.16,"nan","nan","nan",-0.4,0.76,-1.12,0.72,-0.51,-1.07,12,909,0.2,10.41,1,8.53,2,"nan","nan","nan","nan","nan"
7,0,"Stock 21","nan",7.45,57.92,120.05,-4.83,0.06,0.14,"nan","nan","nan",-0.12,0.94,-1.52,1.19,-0.25,-1.5,6,1100,0.4,11.45,1,8.72,3,"nan","nan","nan","nan","nan"
8,0,"NGC 129","nan",7.5,60.22,120.27,-2.54,0.11,0.27,-43.21,3.49,10.0,-0.92,0.46,-0.48,0.61,-0.96,-0.4,17,1625,0.55,12.76,3,7.87,1,-36.8,0.3,1.0,7.89,3.0
9,1,"NGC 146","nan",8.26,63.3,120.87,0.5,0.07,0.13,"nan","nan","nan",-2.41,0.91,0.89,0.99,-2.34,1.06,5,3032,0.48,13.9,3,7.37,1,"nan","nan","nan",7.82,3.0
10,0,"NGC 225","nan",10.92,61.78,122.01,-1.08,0.08,0.2,-28.0,"nan",1.0,-3.18,0.9,1.99,0.69,-3.12,2.09,8,657,0.27,9.93,3,8.19,2,"nan","nan","nan",8.11,3.0
11,0,"Berkeley 4","nan",11.37,64.4,122.28,1.53,0.08,0.2,"nan","nan","nan",-1.29,0.89,0.12,0.67,-1.29,0.15,9,3200,0.7,14.7,2,7.08,-2,"nan","nan","nan","nan","nan"
12,0,"IC 1590","NGC 281",13.2,56.63,123.12,-6.24,0.06,0.11,-37.5,10.16,3.0,-1.36,0.23,-1.34,0.83,-1.35,-1.35,5,2384,0.32,12.88,3,6.84,-1,"nan","nan","nan",7.02,3.0
13,1,"Alessi 1","nan",13.36,49.57,123.26,-13.3,0.13,0.45,"nan","nan","nan",6.51,0.38,-7.7,0.28,6.57,-7.65,23,800,0.1,9.82,2,8.85,9,"nan","nan","nan",8.2,1.0
14,1,"NGC 381","nan",17.08,61.6,124.94,-1.21,0.1,0.1,-22.0,6.0,2.0,0.81,0.75,-1.51,0.82,0.91,-1.45,5,1058,0.34,11.18,3,8.77,3,"nan","nan","nan",8.57,3.0
15,0,"Platais 2","nan",18.25,32.08,128.23,-30.57,1.7,1.7,0.1,3.2,3.0,13.21,0.98,-9.98,0.74,14.12,-8.65,11,201,0.05,6.67,1,8.54,1,"nan","nan","nan",8.6,1.0
16,0,"NGC 433","nan",18.79,60.13,125.88,-2.61,0.05,0.12,"nan","nan","nan",-5.7,1.24,-0.37,0.79,-5.64,-0.89,5,2000,0.55,13.21,2,7.65,1,"nan","nan","nan",7.5,1.0
17,1,"NGC 457","nan",19.89,58.3,126.63,-4.37,0.12,0.26,-31.61,3.12,7.0,-1.35,0.47,-1.49,0.32,-1.18,-1.63,17,2429,0.47,13.38,3,7.38,6,-25.1,3.0,1.0,7.32,3.0
18,1,"NGC 581","M 103",23.34,60.65,128.05,-1.81,0.06,0.12,-40.42,1.59,5.0,-0.69,0.38,0.2,0.7,-0.71,0.09,11,2194,0.39,12.91,3,7.44,1,-43.7,5.3,1.0,7.34,3.0
19,1,"NGC 637","nan",25.77,64.04,128.54,1.73,0.05,0.1,-39.1,7.1,2.0,0.34,1.19,-2.2,0.48,0.77,-2.09,6,2160,0.61,13.56,3,7.21,2,-46.0,10.0,1.0,6.98,3.0
20,1,"NGC 654","nan",25.99,61.88,129.08,-0.37,0.06,0.11,-38.79,"nan",1.0,-1.34,1.17,0.49,1.02,-1.41,0.21,3,2041,0.87,14.25,3,7.3,-3,-33.8,1.4,1.0,7.15,3.0
21,0,"NGC 659","nan",26.1,60.67,129.37,-1.54,0.06,0.1,"nan","nan","nan",-2.97,1.02,-0.55,1.06,-2.8,-1.14,5,1938,0.65,13.45,3,7.8,3,"nan","nan","nan",7.55,3.0
22,0,"NGC 663","nan",26.53,61.24,129.46,-0.94,0.1,0.3,-30.98,3.13,4.0,-2.91,0.43,-2.09,0.29,-2.41,-2.66,29,1952,0.78,13.87,3,7.14,4,-32.0,2.0,1.0,7.21,3.0
23,1,"Collinder 463","nan",26.73,71.8,127.28,9.4,0.22,0.72,"nan","nan","nan",-1.13,0.18,-2.32,0.2,-0.6,-2.51,56,702,0.3,10.16,3,8.35,5,"nan","nan","nan",8.37,3.0
24,0,"Stock 4","nan",28.24,57.07,131.25,-4.81,0.1,0.21,"nan","nan","nan",1.47,0.49,1.18,0.53,1.15,1.49,18,1200,0.1,10.71,2,8.7,10,"nan","nan","nan","nan","nan"
25,0,"NGC 752","nan",29.41,37.78,137.12,-23.26,0.37,1.45,3.52,1.79,17.0,7.66,0.23,-12.15,0.26,10.72,-9.56,87,458,0.04,8.43,3,9.14,33,4.7,0.8,1.0,9.05,3.0
26,0,"NGC 744","nan",29.64,55.47,132.4,-6.17,0.08,0.2,"nan","nan","nan",-2.85,0.61,-3.15,0.5,-1.94,-3.78,14,1207,0.38,11.59,3,8.41,2,"nan","nan","nan",8.25,3.0
27,0,"Stock 5","nan",31.12,64.36,130.73,2.6,0.08,0.23,-19.3,0.7,2.0,-0.85,0.42,-1.51,0.38,-0.39,-1.69,12,1100,0.4,11.45,2,7.73,2,-18.0,"nan",4.0,"nan","nan"
28,1,"Stock 2","nan",33.6,59.27,133.36,-1.92,0.65,2.8,-2.85,3.82,28.0,16.22,0.18,-13.39,0.2,19.61,-7.59,135,380,0.34,8.95,3,8.17,3,0.8,3.3,1.0,8.22,3.0
29,1,"NGC 869","h Per",34.77,57.15,134.63,-3.72,0.23,1.75,-39.82,2.02,10.0,-0.49,0.47,-0.9,0.39,-0.16,-1.01,20,2079,0.48,13.08,3,7.28,5,-42.3,2.6,1.0,7.07,3.0
30,1,"NGC 884","chi Per",35.5,57.14,135.01,-3.6,0.2,1.75,-38.14,7.09,8.0,-0.84,0.44,-0.23,0.5,-0.71,-0.5,21,2345,0.56,13.59,3,7.1,1,-40.5,2.8,1.0,7.03,3.0
31,0,"NGC 886","nan",35.86,63.77,132.89,2.69,0.07,0.15,"nan","nan","nan",1.24,0.76,1.56,0.73,0.62,1.89,8,1700,0.4,12.39,2,8.48,2,"nan","nan","nan","nan","nan"
32,1,"Stock 7","Markarian 6",37.41,60.71,134.66,0.09,0.07,0.18,-0.5,9.5,2.0,-4.89,0.6,-0.62,0.65,-4.31,-2.38,7,698,0.56,10.95,3,7.13,-1,-12.2,3.9,1.0,7.21,3.0
33,0,"IC 1805","nan",38.17,61.45,134.72,0.91,0.1,0.22,-47.64,18.09,5.0,-1.34,0.32,-1.15,0.33,-0.8,-1.57,11,1886,0.65,13.39,3,6.73,-1,-45.0,10.7,1.0,6.82,3.0
34,0,"NGC 957","nan",38.34,57.56,136.28,-2.65,0.08,0.22,-39.5,3.77,3.0,1.15,0.73,-1.52,0.77,1.64,-0.96,11,1815,0.84,13.9,3,6.84,1,-42.7,"nan",1.0,7.04,3.0
35,0,"Trumpler 2","nan",39.22,55.92,137.37,-3.97,0.15,0.5,-39.0,"nan",1.0,1.4,0.44,-5.57,0.42,3.49,-4.56,26,649,0.32,10.05,3,7.93,3,2.4,0.7,1.0,8.17,3.0
36,0,"NGC 1039","M 34",40.51,42.76,143.65,-15.62,0.09,0.37,"nan","nan","nan",-0.22,0.17,-6.93,0.2,2.77,-6.35,37,499,0.07,8.71,3,8.42,6,-15.0,2.3,1.0,8.25,3.0
37,0,"NGC 1027","nan",40.66,61.63,135.74,1.55,0.1,0.24,15.0,"nan",1.0,-2.42,0.46,1.41,0.63,-2.79,0.28,19,772,0.33,10.46,3,8.55,6,15.0,1.0,1.0,8.2,3.0
38,0,"IC 1848","nan",42.79,60.43,137.19,0.91,0.09,0.34,-29.24,8.54,5.0,-2.51,0.64,-0.7,0.65,-1.94,-1.74,12,2002,0.6,13.37,3,6.65,-1,-33.3,8.9,1.0,6.84,3.0
39,1,"Collinder 33","nan",44.82,60.4,138.09,1.34,0.12,0.36,-6.75,13.12,4.0,2.7,0.67,3.17,0.57,0.89,4.07,16,1000,0.4,11.24,2,8.36,4,"nan","nan","nan","nan","nan"
40,0,"Trumpler 3","Harvard 1",47.95,63.19,138.01,4.5,0.13,0.5,"nan","nan","nan",-2.42,0.53,0.89,0.46,-2.53,-0.48,19,450,0.22,8.95,2,8.34,1,"nan","nan","nan","nan","nan"
41,0,"Stock 23","nan",49.05,60.05,140.08,2.09,0.08,0.18,-16.75,4.25,2.0,-1.34,1.1,-1.11,1.14,-0.56,-1.65,4,380,0.26,8.7,2,7.51,1,"nan","nan","nan","nan","nan"
42,1,"Melotte 20","alpha Per",51.49,49.12,147.2,-6.33,1.3,6.25,-2.64,0.8,66.0,21.98,0.2,-25.36,0.17,32.4,-8.74,92,190,0.09,6.67,5,7.55,1,-2.0,"nan",4.0,7.85,3.0
43,0,"King 6","nan",52.02,56.45,143.35,-0.08,0.05,0.11,"nan","nan","nan",-0.77,0.78,-2.01,1.23,0.49,-2.1,5,450,0.58,10.06,2,8.41,2,"nan","nan","nan",8.4,1.0
44,0,"Alessi 13","nan",52.05,-35.9,237.65,-55.71,3.2,3.2,20.1,5.1,2.0,36.97,0.73,-3.18,0.4,0.87,37.1,7,110,0.04,5.33,1,8.72,1,"nan","nan","nan","nan","nan"
45,0,"NGC 1342","nan",52.9,37.34,154.97,-15.38,0.1,0.25,"nan","nan","nan",0.13,0.8,-2.72,0.77,1.72,-2.11,9,665,0.32,10.11,3,8.21,2,-10.9,0.3,1.0,8.66,3.0
46,1,"IC 348","nan",56.14,32.16,160.49,-17.81,0.06,0.13,14.0,"nan",1.0,5.37,0.62,-7.43,1.01,8.88,-2.26,5,394,0.82,10.52,3,7.79,1,18.1,3.5,1.0,7.64,3.0
47,1,"Melotte 22","Pleiades, M45",56.83,24.12,166.63,-23.47,1.1,6.4,5.41,0.37,85.0,19.33,0.11,-45.0,0.12,44.6,-20.23,97,130,0.02,5.63,2,8.08,1,4.8,5.1,1.0,8.13,3.0
48,0,"Tombaugh 5","nan",56.95,59.05,143.94,3.57,0.09,0.18,"nan","nan","nan",-0.39,0.64,-2.64,0.92,1.33,-2.31,6,1000,0.25,10.77,2,8.73,3,"nan","nan","nan","nan","nan"
49,1,"NGC 1502","nan",61.96,62.33,143.67,7.65,0.08,0.21,-20.78,6.42,6.0,-0.69,0.45,-1.03,0.48,0.19,-1.22,15,821,0.65,11.59,3,6.8,1,-12.4,4.5,1.0,7.05,3.0
50,1,"NGC 1528","nan",63.84,51.22,152.05,0.25,0.14,0.44,"nan","nan","nan",1.67,0.31,-2.46,0.28,2.91,-0.62,33,776,0.24,10.19,3,8.43,2,-10.3,0.3,1.0,8.57,3.0
51,0,"NGC 1545","nan",65.23,50.25,153.36,0.18,0.07,0.21,-12.7,"nan",1.0,-1.63,0.77,-1.0,0.45,-0.45,-1.86,7,711,0.3,10.19,3,8.15,1,-12.0,2.0,1.0,8.45,3.0
52,0,"NGC 1582","nan",67.89,43.8,159.25,-3.02,0.15,0.48,"nan","nan","nan",1.44,0.29,-0.3,0.39,1.2,0.85,12,600,0.22,9.57,2,8.6,3,"nan","nan","nan",8.47,1.0
53,1,"Platais 3","nan",68.85,71.58,138.74,15.98,0.65,2.5,7.0,"nan",1.0,3.3,0.4,-20.5,0.37,17.85,-10.61,18,200,0.1,6.82,2,8.7,1,"nan","nan","nan",8.6,1.0
54,1,"NGC 1647","nan",71.47,19.11,180.33,-16.78,0.23,0.63,"nan","nan","nan",-1.43,0.23,-1.83,0.18,0.58,-2.25,35,539,0.32,9.65,3,7.96,1,-2.0,4.4,1.0,8.16,3.0
55,0,"Alessi 2","nan",71.56,55.23,152.29,6.36,0.1,0.28,"nan","nan","nan",-0.08,0.4,0.31,0.49,-0.29,0.14,11,501,0.18,9.06,1,8.6,4,"nan","nan","nan",8.5,1.0
56,0,"NGC 1662","nan",72.1,10.94,187.68,-21.12,0.12,0.43,"nan","nan","nan",-3.28,0.19,-1.78,0.29,-0.42,-3.71,27,437,0.3,9.13,3,8.68,12,-13.9,0.5,1.0,8.62,3.0
57,0,"NGC 1664","nan",72.79,43.66,161.69,-0.45,0.11,0.33,36.1,"nan",1.0,-2.54,0.31,-6.21,0.32,3.16,-5.92,20,1199,0.25,11.17,3,8.72,7,7.8,1.5,1.0,8.47,3.0
58,1,"Berkeley 14A","nan",75.1,43.48,162.88,0.74,0.15,0.74,4.82,3.74,5.0,-0.73,0.25,-2.94,0.27,1.87,-2.39,29,1100,0.23,10.92,2,6.97,1,"nan","nan","nan",9.2,1.0
59,0,"NGC 1708","nan",75.85,52.85,155.74,6.85,0.08,0.21,"nan","nan","nan",-3.52,0.6,0.39,0.47,-2.43,-2.58,9,600,0.32,9.88,2,8.76,3,"nan","nan","nan","nan","nan"
60,1,"NGC 1746","nan",75.96,23.77,179.07,-10.65,0.17,0.57,2.0,"nan",1.0,-1.87,0.18,-3.07,0.2,1.38,-3.32,36,760,0.25,10.18,1,8.19,4,2.0,"nan",4.0,8.6,1.0
61,1,"Platais 4","nan",76.72,22.37,180.65,-10.9,0.25,1.25,13.8,5.08,3.0,2.36,0.29,-6.33,0.35,6.52,-1.76,21,276,0.25,7.98,1,8.24,1,"nan","nan","nan",8.0,1.0
62,1,"NGC 1778","nan",77.01,37.02,168.9,-2.03,0.07,0.18,8.17,2.98,3.0,-0.76,0.41,-3.11,0.53,2.04,-2.47,6,1454,0.23,11.53,3,8.18,1,10.0,2.0,1.0,8.16,3.0
63,0,"NGC 1802","nan",77.56,24.14,179.64,-9.24,0.1,0.3,"nan","nan","nan",-0.48,0.44,-8.23,0.64,6.43,-5.16,7,400,0.25,8.78,2,8.66,1,"nan","nan","nan","nan","nan"
64,0,"NGC 1817","nan",78.06,16.69,186.15,-13.1,0.1,0.23,"nan","nan","nan",-0.06,0.63,-3.13,0.53,2.56,-1.8,8,1972,0.33,12.5,3,8.25,2,65.33,0.1,1.0,8.61,3.0
65,0,"NGC 1901","nan",79.56,-68.44,279.03,-33.6,0.1,0.5,-9.63,9.63,3.0,1.16,0.5,9.8,0.41,-9.84,-0.74,15,409,0.02,8.12,3,8.93,3,14.0,1.3,1.0,8.81,3.0
66,1,"NGC 1893","nan",80.68,33.41,173.58,-1.69,0.08,0.2,-2.25,5.25,2.0,0.35,0.38,-4.37,0.36,3.8,-2.18,11,3280,0.4,13.82,3,6.82,-1,-7.7,0.3,1.0,7.03,3.0
67,0,"NGC 1896","nan",81.42,29.3,177.34,-3.48,0.09,0.19,"nan","nan","nan",0.54,0.77,-8.03,0.59,6.97,-4.03,6,820,0.15,10.03,2,8.8,2,"nan","nan","nan","nan","nan"
68,1,"Collinder 65","nan",81.52,15.7,188.86,-10.86,1.05,2.4,17.4,1.9,9.0,1.16,0.22,-6.46,0.19,6.07,-2.48,73,310,0.13,7.86,2,7.41,-1,"nan","nan","nan","nan","nan"
69,0,"NGC 1907","nan",82.02,35.33,172.61,0.3,0.07,0.22,"nan","nan","nan",0.15,0.5,-3.4,0.46,2.91,-1.76,11,1330,0.42,11.92,4,7.94,3,0.1,1.8,1.0,8.11,4.0
70,0,"Stock 8","nan",82.03,34.42,173.37,-0.19,0.1,0.25,-6.4,"nan",1.0,-1.44,0.32,-3.9,0.55,2.44,-3.36,21,1821,0.44,12.67,3,7.61,2,8.3,"nan",1.0,7.06,3.0
71,0,"NGC 1912","M 38",82.18,35.83,172.27,0.69,0.13,0.41,"nan","nan","nan",0.23,0.17,-5.44,0.19,4.66,-2.82,61,1066,0.25,10.91,3,8.56,25,-1.0,"nan",1.0,8.46,3.0
72,1,"Collinder 69","lambda Ori",83.79,9.7,195.26,-12.12,0.18,0.55,31.38,1.42,4.0,0.4,0.47,-1.93,0.34,1.86,-0.64,15,438,0.09,8.49,3,6.76,1,30.5,2.6,1.0,7.05,3.0
73,0,"NGC 1981","nan",83.79,-4.4,208.06,-18.96,0.13,0.25,27.94,2.4,5.0,1.01,0.46,1.14,0.47,-0.55,1.42,6,400,0.05,8.16,1,7.5,1,28.0,"nan",4.0,"nan","nan"
74,1,"NGC 1976","Trapezium",83.82,-5.39,209.01,-19.39,0.2,0.4,28.94,2.72,24.0,1.96,0.31,-0.77,0.46,1.57,1.4,12,399,0.05,8.16,1,7.71,1,29.9,27.1,1.0,7.11,1.0
75,0,"NGC 1977","nan",83.85,-4.82,208.48,-19.1,0.09,0.21,25.26,2.37,3.0,2.42,0.76,-1.9,0.82,2.79,1.29,6,500,0.05,8.65,2,7.08,1,"nan","nan","nan","nan","nan"
76,0,"NGC 1980","nan",83.85,-5.91,209.51,-19.6,0.13,0.21,25.34,2.1,5.0,0.83,0.5,-0.36,0.58,0.69,0.58,7,550,0.05,8.86,2,6.67,1,21.0,"nan",4.0,"nan","nan"
77,0,"Collinder 70","nan",83.88,-1.1,205.03,-17.35,0.4,1.5,19.49,2.19,21.0,0.36,0.14,-0.68,0.16,0.77,0.0,89,391,0.04,8.09,3,6.71,1,20.2,11.0,1.0,6.98,3.0
78,0,"NGC 1960","M 36",84.07,34.14,174.53,1.07,0.09,0.27,-1.18,4.6,13.0,0.5,0.36,-4.94,0.21,4.43,-2.24,24,1318,0.22,11.28,3,7.62,4,-2.0,10.3,1.0,7.47,3.0
79,0,"NGC 1996","nan",84.51,25.77,181.8,-3.11,0.1,0.2,"nan","nan","nan",0.58,0.87,-4.35,0.35,3.99,-1.83,8,1400,0.15,11.2,2,8.45,1,"nan","nan","nan","nan","nan"
80,0,"Sigma Ori","nan",84.67,-2.61,206.82,-17.36,0.1,0.4,29.45,0.45,2.0,3.42,1.05,-0.2,0.6,1.76,2.94,5,399,0.05,8.16,1,6.82,1,"nan","nan","nan",7.11,1.0
81,0,"Stock 10","nan",84.75,37.93,171.62,3.55,0.1,0.32,-8.15,"nan",1.0,-3.34,0.36,-1.57,0.55,-0.44,-3.66,9,380,0.08,8.15,1,8.42,5,-13.1,3.6,1.0,8.35,1.0
82,1,"NGC 2099","M 37",88.08,32.55,177.64,3.09,0.13,0.32,"nan","nan","nan",3.09,0.23,-7.35,0.25,7.9,-1.07,49,1383,0.3,11.63,3,8.54,-3,7.7,0.9,1.0,8.54,3.0
83,1,"Basel 11B","nan",89.55,21.97,187.44,-1.12,0.09,0.18,"nan","nan","nan",-0.29,0.65,-3.33,0.5,2.74,-1.91,7,1500,0.1,11.19,2,8.82,3,"nan","nan","nan",8.3,4.0
84,1,"NGC 2129","nan",90.27,23.32,186.59,0.13,0.05,0.09,12.6,2.12,3.0,0.23,0.59,-0.68,0.77,0.7,-0.14,4,1515,0.74,13.2,3,7.08,1,-6.3,1.4,1.0,7.32,3.0
85,1,"NGC 2143","nan",90.78,5.77,202.19,-8.02,0.09,0.21,"nan","nan","nan",2.85,0.6,2.4,0.64,-0.75,3.65,6,800,0.0,9.52,2,9.15,-3,"nan","nan","nan","nan","nan"
86,0,"NGC 2169","nan",92.1,13.97,195.6,-2.94,0.08,0.15,22.22,2.41,8.0,-2.17,0.52,-2.52,0.32,1.16,-3.12,8,1032,0.2,10.69,3,6.89,-1,17.0,6.0,1.0,7.07,3.0
87,0,"NGC 2168","M 35",92.28,24.35,186.6,2.24,0.2,0.95,-7.15,4.77,6.0,2.38,0.14,-2.95,0.11,3.73,0.66,128,830,0.26,10.4,3,8.18,16,-8.7,3.0,1.0,8.04,3.0
88,0,"NGC 2180","nan",92.44,4.81,203.84,-7.02,0.09,0.18,"nan","nan","nan",1.34,0.47,-1.83,0.55,2.25,0.32,9,910,0.0,9.8,1,9.24,2,"nan","nan","nan",8.85,1.0
89,1,"NGC 2184","nan",92.8,-3.44,211.41,-10.52,0.08,0.2,"nan","nan","nan",-3.59,0.7,-1.93,0.71,0.09,-4.07,4,640,0.08,9.28,2,8.37,1,"nan","nan","nan","nan","nan"
90,1,"NGC 2186","nan",93.03,5.46,203.54,-6.2,0.06,0.12,"nan","nan","nan",1.61,0.09,-0.29,0.46,1.01,1.28,5,1445,0.26,11.6,3,8.08,-2,"nan","nan","nan",7.74,3.0
91,1,"Platais 6","nan",93.85,3.92,205.3,-6.19,0.55,1.57,26.0,13.0,2.0,-4.45,0.25,-4.27,0.28,1.7,-5.93,40,348,0.0,7.71,1,7.79,1,"nan","nan","nan",7.78,1.0
92,0,"NGC 2202","nan",94.21,6.0,203.62,-4.9,0.08,0.12,"nan","nan","nan",0.42,0.66,1.52,0.36,-1.15,1.08,5,900,0.0,9.77,2,8.74,2,"nan","nan","nan","nan","nan"
93,1,"Collinder 89","nan",94.87,23.3,188.65,3.83,0.15,0.5,26.23,7.64,3.0,0.42,0.3,-2.15,0.37,2.1,-0.64,16,800,0.48,11.0,2,7.5,2,"nan","nan","nan","nan","nan"
94,0,"NGC 2215","nan",95.2,-7.28,215.99,-10.1,0.09,0.28,"nan","nan","nan",2.44,0.38,-5.59,0.49,6.09,-0.3,12,1293,0.3,11.49,3,8.43,1,"nan","nan","nan",8.37,3.0
95,1,"NGC 2232","nan",96.97,-4.8,214.54,-7.42,0.12,0.6,16.63,4.53,3.0,-4.31,0.32,-2.4,0.25,0.2,-4.93,20,325,0.03,7.65,5,7.49,1,18.2,7.1,1.0,7.73,3.0
96,0,"Collinder 95","nan",97.77,9.9,201.81,0.03,0.08,0.2,-11.0,"nan",1.0,-1.81,0.42,-4.62,1.56,3.26,-3.74,6,556,0.1,9.03,1,8.36,1,"nan","nan","nan","nan","nan"
97,0,"Collinder 97","nan",97.83,5.95,205.34,-1.74,0.3,0.3,17.5,5.5,3.0,-3.78,0.47,-2.03,0.46,0.06,-4.29,6,500,0.07,8.71,2,8.32,1,-14.7,11.7,1.0,8.0,1.0
98,1,"NGC 2244","nan",97.98,4.94,206.3,-2.08,0.14,0.32,26.16,3.37,12.0,-1.42,0.39,-0.32,0.37,-0.37,-1.41,15,1445,0.4,12.04,3,6.7,-1,36.6,5.5,1.0,6.9,3.0
99,0,"NGC 2240","nan",98.29,35.25,179.21,11.84,0.1,0.27,"nan","nan","nan",1.92,1.07,-12.88,0.63,12.49,-3.7,8,450,0.17,8.79,2,9.5,1,"nan","nan","nan","nan","nan"
100,0,"Basel 8","nan",98.55,8.01,203.84,-0.16,0.1,0.25,11.0,"nan",1.0,0.5,0.47,-2.29,0.68,2.26,-0.61,10,1328,0.37,11.76,3,7.68,3,"nan","nan","nan",8.1,3.0
101,0,"NGC 2252","nan",98.62,5.37,206.22,-1.31,0.08,0.16,"nan","nan","nan",-1.26,0.68,-4.11,0.47,3.07,-3.01,6,900,0.1,10.08,2,8.84,1,"nan","nan","nan","nan","nan"
102,1,"NGC 2251","nan",98.65,8.37,203.57,0.1,0.07,0.2,-16.0,"nan",1.0,0.67,0.44,-2.79,0.44,2.79,-0.69,14,1329,0.19,11.21,3,8.43,-3,24.7,0.4,1.0,8.43,3.0
103,0,"Ruprecht 1","nan",99.1,-14.18,223.99,-9.69,0.08,0.25,"nan","nan","nan",2.2,0.48,0.1,0.34,0.86,2.03,11,1100,0.15,10.67,2,8.76,5,"nan","nan","nan","nan","nan"
104,0,"Collinder 106","nan",99.34,5.95,206.03,-0.41,0.2,0.52,28.72,4.99,5.0,-1.98,0.22,1.47,0.4,-2.22,-1.08,15,1600,0.23,11.73,2,6.74,-1,"nan","nan","nan","nan","nan"
105,1,"Collinder 107","nan",99.63,4.63,207.34,-0.76,0.07,0.15,17.73,6.11,3.0,-2.58,0.73,-0.75,0.61,-0.52,-2.64,4,1450,0.4,12.05,2,7.03,1,"nan","nan","nan",7.0,1.0
