Name,Log(t),e_Log(t),[Fe/H],e_[Fe/H],Mass,e_Mass,binar_fr,e_binar_fr
XDOCC-1,8.13,0.28,0.40,0.20,213,89,0.38,0.14
XDOCC-2,7.47,0.43,0.24,0.18,343,122,0.45,0.12
XDOCC-3,7.23,0.48,0.25,0.24,189,93,0.17,0.13
XDOCC-4,8.47,0.06,0.23,0.12,1543,328,0.32,0.10
XDOCC-5,7.73,0.45,0.17,0.19,188,126,0.22,0.15
XDOCC-6,7.67,0.40,0.39,0.15,229,123,0.41,0.12
XDOCC-7,8.76,0.31,0.24,0.24,125,38,0.43,0.13
XDOCC-8,8.75,0.12,0.34,0.12,661,304,0.40,0.12
XDOCC-9,8.71,0.26,0.07,0.19,204,82,0.35,0.13
XDOCC-10,8.85,0.08,0.40,0.17,655,288,0.29,0.12
XDOCC-11,8.48,0.37,0.37,0.15,591,165,0.29,0.14