"Name","Type","n_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","o_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","dH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Src","SType","[Fe/H]","e_[Fe/H]","o_[Fe/H]"
"MWSC_4005","nan","nan",2.865,-85.48,303.85,-31.573,0.012,0.1,0.165,9.31,-1.47,0.95,"nan","nan","nan",3,26,42,1159.0,0.25,10.4,0.12,0.08,-0.02,9.375,"nan","nan",0.36,0.13,4.69,1.85,15.94,6.19,"AIPk","nan","nan","nan","nan"
"MWSC_4114","nan","nan",91.965,-78.22,289.714,-28.731,0.03,0.13,0.24,0.23,5.86,1.09,"nan","nan","nan",3,24,60,962.0,0.26,10.0,0.125,0.083,0.0,9.4,"nan","nan",0.97,0.41,5.78,2.38,3.31,0.9,"AIPk","nan","nan","nan","nan"
"MWSC_4116","nan","nan",94.8,-59.97,269.071,-27.208,0.03,0.13,0.225,-0.92,8.55,1.06,"nan","nan","nan",5,27,73,1743.0,0.291,11.3,0.14,0.093,0.04,9.125,"nan","nan",0.61,0.26,11.04,5.47,5.82,2.5,"AIPk","nan","nan","nan","nan"
"MWSC_4119","nan","nan",106.515,-57.23,267.671,-20.653,0.025,0.13,0.205,-2.8,9.81,0.81,"nan","nan","nan",3,37,79,2347.0,0.458,12.0,0.22,0.147,0.03,8.985,0.031,6.0,1.04,0.57,12.67,7.49,0.94,0.49,"AIPk","nan","nan","nan","nan"
"MWSC_4131","r","c",124.822,42.035,178.664,33.536,0.03,0.125,0.22,-1.05,-7.67,0.75,"nan","nan","nan",2,14,37,1058.0,0.083,10.15,0.04,0.027,-0.03,9.4,"nan",0.0,0.92,0.47,7.22,3.81,3.29,0.88,"AIPk","nan","nan","nan","nan"
"MWSC_4137","nan","nan",141.547,-79.74,294.396,-20.461,0.015,0.105,0.18,-4.09,8.78,1.02,"nan","nan","nan",3,32,83,1209.0,0.271,10.5,0.13,0.087,-0.01,9.21,0.03,2.0,0.4,0.22,6.93,4.38,7.77,4.27,"AIPk","nan","nan","nan","nan"
"MWSC_4138","nan","nan",141.78,-73.5,289.628,-16.163,0.025,0.12,0.185,-3.3,6.47,0.67,"nan","nan","nan",7,51,103,1908.0,0.458,11.55,0.22,0.147,0.0,9.28,"nan","nan",1.27,0.46,9.9,3.84,3.02,0.63,"AIPk","nan","nan","nan","nan"
"MWSC_4140","nan","nan",144.15,-77.48,293.037,-18.529,0.02,0.135,0.225,-3.25,3.26,0.83,"nan","nan","nan",3,45,112,2465.0,0.437,12.1,0.21,0.14,0.0,9.28,"nan","nan",3.34,1.0,17.91,5.07,1.11,0.15,"AIPk","nan","nan","nan","nan"
"MWSC_4146","nan","nan",165.187,-40.49,281.169,17.66,0.022,0.1,0.16,-9.36,4.08,0.97,"nan","nan","nan",2,23,61,1419.0,0.437,10.9,0.21,0.14,0.0,9.1,"nan","nan",2.74,1.09,6.47,1.61,3.37,1.86,"AIPk","nan","nan","nan","nan"
"MWSC_4158","nan","nan",191.115,-38.31,301.42,24.544,0.02,0.115,0.195,-6.57,-3.57,1.12,"nan","nan","nan",2,30,80,1616.0,0.333,11.15,0.16,0.107,0.02,9.02,0.072,3.0,2.09,0.75,7.65,1.51,0.66,0.18,"AIPk","nan","nan","nan","nan"
"MWSC_4170","nan","nan",204.202,-39.185,312.447,22.85,0.02,0.125,0.22,-3.94,-0.52,0.74,"nan","nan","nan",3,51,132,1548.0,0.312,11.05,0.15,0.1,0.0,9.38,0.024,5.0,1.07,0.34,11.97,4.2,4.01,0.93,"AIPk","nan","nan","nan","nan"
"MWSC_4176","nan","nan",216.825,-85.42,304.948,-22.925,0.025,0.15,0.28,-9.41,0.12,0.69,"nan","nan","nan",4,53,155,1093.0,0.333,10.3,0.16,0.107,-0.03,9.315,"nan","nan",0.97,0.24,6.84,1.58,6.46,1.31,"AIPk","nan","nan","nan","nan"
"MWSC_4178","nan","nan",216.907,-44.945,320.272,14.667,0.02,0.115,0.18,-3.98,-3.61,0.76,"nan","nan","nan",3,46,94,3515.0,0.219,12.8,0.105,0.07,-0.02,9.3,"nan","nan",2.38,0.6,20.23,5.51,1.4,0.22,"AIPk","nan","nan","nan","nan"
"MWSC_4194","nan","nan",226.972,-17.425,343.417,34.512,0.025,0.2,0.32,-0.73,-0.97,0.43,"nan","nan","nan",4,35,69,2089.0,0.312,11.7,0.15,0.1,0.0,9.2,"nan","nan",2.58,0.8,15.59,4.88,1.37,0.23,"AIPk","nan","nan","nan","nan"
"MWSC_4210","nan","nan",231.96,-36.52,334.835,16.487,0.025,0.13,0.205,-4.59,-4.31,0.58,"nan","nan","nan",4,80,168,2432.0,0.375,12.05,0.18,0.12,0.02,9.08,"nan","nan",4.91,1.83,13.9,3.72,0.7,0.29,"AIPk","nan","nan","nan","nan"
"MWSC_4211","nan","nan",232.897,-37.49,334.869,15.262,0.035,0.147,0.24,-8.27,-3.97,0.56,"nan","nan","nan",7,84,190,2361.0,0.729,12.1,0.35,0.233,0.0,8.82,0.035,13.0,5.71,2.12,13.6,3.21,1.23,0.64,"AIPk","nan","nan","nan","nan"
"MWSC_4212","nan","nan",233.295,-30.335,339.699,20.76,0.035,0.135,0.225,-4.26,-4.96,0.43,"nan","nan","nan",4,37,99,2221.0,0.521,11.9,0.25,0.167,0.0,9.025,0.02,5.0,1.22,0.79,13.8,9.93,0.78,0.4,"AIPk","nan","nan","nan","nan"
"MWSC_4218","nan","nan",235.11,-33.475,338.909,17.343,0.025,0.14,0.25,-5.99,-7.06,0.6,"nan","nan","nan",4,46,128,993.0,0.729,10.22,0.35,0.233,0.0,9.1,"nan","nan",0.72,0.25,5.79,2.13,10.49,2.24,"AIPk","nan","nan","nan","nan"
"MWSC_4219","nan","nan",235.56,-83.195,307.903,-22.037,0.015,0.115,0.2,-9.26,-3.14,0.74,"nan","nan","nan",2,36,95,1606.0,0.375,11.15,0.18,0.12,0.02,9.1,"nan","nan",2.81,0.76,9.78,2.13,1.71,0.41,"AIPk","nan","nan","nan","nan"
"MWSC_4225","nan","nan",237.075,-18.305,351.231,27.547,0.013,0.09,0.16,-3.58,-5.79,0.58,"nan","nan","nan",2,21,43,2495.0,0.822,12.25,0.395,0.263,0.06,8.7,"nan","nan",1.34,0.49,12.37,4.81,1.24,0.37,"AIPk","nan","nan","nan","nan"
"MWSC_4228","nan","nan",238.635,-30.66,343.205,17.55,0.02,0.16,0.26,-4.74,-5.04,0.4,"nan","nan","nan",2,55,133,1312.0,0.625,10.79,0.3,0.2,0.015,8.74,0.02,3.0,0.82,0.36,9.42,4.58,4.46,1.49,"AIPk","nan","nan","nan","nan"
"MWSC_4229","nan","nan",239.122,-31.72,342.787,16.484,0.035,0.14,0.255,-4.8,-6.98,0.47,"nan","nan","nan",6,41,122,1148.0,0.5,10.46,0.24,0.16,0.025,9.015,"nan","nan",1.24,0.47,6.93,2.58,4.58,0.91,"AIPk","nan","nan","nan","nan"
"MWSC_4248","nan","nan",243.187,-29.905,346.715,15.383,0.03,0.155,0.25,-1.12,-1.41,0.34,"nan","nan","nan",7,82,171,1618.0,0.791,11.3,0.38,0.253,0.02,8.9,"nan","nan",1.19,0.42,11.72,4.51,3.39,0.78,"AIPk","nan","nan","nan","nan"
"MWSC_4265","nan","nan",247.267,-19.155,357.685,19.864,0.025,0.17,0.285,0.18,-1.45,0.36,"nan","nan","nan",4,55,101,2153.0,1.041,12.0,0.5,0.333,0.04,8.6,"nan","nan",1.98,0.91,16.28,7.97,0.89,0.23,"AIPk","nan","nan","nan","nan"
"MWSC_4267","nan","nan",247.357,-20.14,356.94,19.168,0.022,0.1,0.165,-3.23,-0.81,0.55,"nan","nan","nan",4,20,37,4001.0,1.52,13.5,0.73,0.487,0.05,8.25,"nan","nan",4.01,3.82,19.58,14.66,0.02,0.02,"AIPk","nan","nan","nan","nan"
"MWSC_4286","nan","nan",250.387,-30.535,350.548,10.37,0.022,0.085,0.16,0.09,-3.43,0.55,"nan","nan","nan",4,35,102,1564.0,1.332,11.4,0.64,0.427,0.055,8.91,0.041,9.0,1.95,0.73,6.04,1.71,3.86,1.45,"AIPk","nan","nan","nan","nan"
"MWSC_4287","nan","nan",250.65,-24.46,355.485,14.07,0.03,0.13,0.23,-4.53,-5.69,0.39,"nan","nan","nan",4,50,122,2524.0,1.832,12.6,0.88,0.587,0.11,7.92,"nan","nan",3.64,1.24,13.84,3.87,0.77,0.2,"AIPk","nan","nan","nan","nan"
"MWSC_4288","nan","nan",251.047,-0.135,17.003,27.915,0.05,0.2,0.35,-0.1,-7.85,0.42,"nan","nan","nan",6,30,87,1994.0,0.781,11.75,0.375,0.25,0.02,9.015,0.038,10.0,3.23,1.25,16.62,6.08,0.86,0.17,"AIPk","nan","nan","nan","nan"
"MWSC_4289","nan","nan",251.52,-20.94,358.852,15.632,0.025,0.115,0.195,-0.76,-0.95,0.37,"nan","nan","nan",7,52,101,2183.0,0.947,12.0,0.455,0.303,0.0,9.325,0.043,14.0,1.45,0.47,10.59,3.49,2.28,0.5,"AIPk","nan","nan","nan","nan"
"MWSC_4290","nan","nan",251.655,-9.195,8.956,22.483,0.02,0.11,0.165,-3.09,-5.28,0.51,"nan","nan","nan",4,27,44,2628.0,1.249,12.5,0.6,0.4,0.065,8.38,0.039,3.0,3.57,2.59,15.05,9.59,0.16,0.08,"AIPk","nan","nan","nan","nan"
"MWSC_4301","nan","nan",254.835,18.36,38.18,32.723,0.03,0.19,0.295,-1.52,-7.0,0.4,"nan","nan","nan",2,36,68,1355.0,0.281,10.75,0.135,0.09,-0.015,9.415,"nan","nan",1.88,0.75,11.41,4.47,1.87,0.33,"AIPk","nan","nan","nan","nan"
"MWSC_4312","nan","nan",256.627,-19.445,3.03,12.665,0.03,0.14,0.22,2.31,-3.87,0.34,"nan","nan","nan",7,65,133,1384.0,1.072,11.05,0.515,0.344,0.06,8.2,"nan","nan",0.82,0.32,8.29,3.57,5.52,1.51,"AIPk","nan","nan","nan","nan"
"MWSC_4316","nan","nan",257.617,51.57,78.642,36.379,0.035,0.12,0.225,-4.74,1.56,0.59,"nan","nan","nan",4,12,35,1905.0,0.312,11.5,0.15,0.1,0.0,9.23,"nan","nan",1.01,0.49,12.35,6.65,2.1,0.8,"AIPk","nan","nan","nan","nan"
"MWSC_4317","nan","nan",257.617,1.265,21.991,22.93,0.035,0.11,0.19,-2.07,-0.16,0.53,"nan","nan","nan",6,24,61,2391.0,0.333,12.0,0.16,0.107,0.0,9.425,"nan","nan",1.09,0.44,10.55,4.19,1.39,0.55,"AIPk","nan","nan","nan","nan"
"MWSC_4330","nan","nan",259.26,-15.08,8.182,13.033,0.023,0.12,0.175,-2.92,-4.4,0.32,"nan","nan","nan",8,73,126,1434.0,0.833,11.05,0.4,0.267,0.03,8.55,"nan","nan",1.99,0.57,5.91,1.24,7.13,2.15,"AIPk","nan","nan","nan","nan"
"MWSC_4349","nan","nan",261.757,-57.525,333.768,-12.271,0.018,0.085,0.15,-3.52,-7.65,1.01,"nan","nan","nan",4,29,84,3210.0,0.521,12.7,0.25,0.167,0.045,8.805,"nan","nan",1.54,0.64,17.15,7.96,0.9,0.29,"AIPk","nan","nan","nan","nan"
"MWSC_4355","nan","nan",262.65,-23.935,2.437,5.516,0.025,0.11,0.18,1.43,-3.73,0.67,"nan","nan","nan",7,39,89,1113.0,1.145,10.6,0.55,0.367,0.02,8.68,"nan","nan",0.51,0.28,6.47,3.98,5.37,2.42,"AIPk","nan","nan","nan","nan"
"MWSC_4375","nan","nan",268.237,9.515,34.944,17.28,0.02,0.125,0.2,-3.51,-2.75,0.37,"nan","nan","nan",3,55,106,3772.0,0.208,12.95,0.1,0.067,-0.02,9.375,"nan","nan",2.83,0.66,18.45,4.33,1.26,0.19,"AIPk","nan","nan","nan","nan"
"MWSC_4383","nan","nan",269.685,23.05,48.688,21.423,0.035,0.115,0.21,-3.05,-6.95,0.43,"nan","nan","nan",8,30,71,2082.0,0.333,11.7,0.16,0.107,0.0,9.095,"nan",1.0,2.08,0.64,9.64,2.66,2.17,0.44,"AIPk","nan","nan","nan","nan"
"MWSC_4408","nan","nan",273.877,-60.215,334.203,-19.064,0.018,0.095,0.165,-1.6,-7.99,0.94,"nan","nan","nan",4,34,82,2167.0,0.687,11.9,0.33,0.22,0.045,8.495,0.085,3.0,2.85,0.68,9.95,1.86,1.77,0.37,"AIPk","nan","nan","nan","nan"
"MWSC_4409","nan","nan",273.84,31.725,58.789,21.009,0.022,0.13,0.22,0.29,-4.72,0.0,"nan","nan","nan",3,36,106,2740.0,0.656,12.4,0.315,0.21,0.015,8.85,"nan","nan",3.64,1.64,15.95,6.43,0.45,0.13,"AIPk","nan","nan","nan","nan"
"MWSC_4410","nan","nan",274.26,-53.69,340.628,-16.771,0.025,0.12,0.195,-4.64,-6.57,0.6,"nan","nan","nan",9,79,192,2202.0,0.625,11.915,0.3,0.2,0.025,8.9,0.015,10.0,3.62,1.18,10.44,2.45,1.74,0.62,"AIPk","nan","nan","nan","nan"
"MWSC_4429","nan","nan",278.895,-51.745,343.617,-18.655,0.025,0.155,0.29,-0.46,-5.08,0.48,"nan","nan","nan",4,120,315,2051.0,0.437,11.7,0.21,0.14,0.03,9.045,"nan","nan",1.76,0.99,14.82,8.88,0.75,0.25,"AIPk","nan","nan","nan","nan"
"MWSC_4463","nan","nan",284.73,-64.265,331.551,-25.042,0.025,0.13,0.21,0.94,-5.41,0.7,"nan","nan","nan",4,49,125,1406.0,0.344,10.85,0.165,0.11,0.0,9.15,"nan","nan",1.1,0.4,6.88,2.5,3.62,0.85,"AIPk","nan","nan","nan","nan"
"MWSC_4475","nan","nan",287.04,-30.23,6.977,-16.59,0.02,0.09,0.165,-1.52,-3.29,0.42,"nan","nan","nan",4,34,96,1681.0,0.458,11.275,0.22,0.147,0.0,8.785,"nan","nan",0.75,0.32,6.51,2.93,3.86,1.34,"AIPk","nan","nan","nan","nan"
"MWSC_4483","nan","nan",289.282,-68.525,327.128,-27.432,0.015,0.15,0.235,0.48,-5.79,0.68,"nan","nan","nan",2,46,113,1397.0,0.229,10.8,0.11,0.073,0.02,9.31,0.103,5.0,2.16,0.76,8.23,2.01,0.76,0.22,"AIPk","nan","nan","nan","nan"
"MWSC_4484","nan","nan",290.58,-25.01,13.271,-17.519,0.025,0.115,0.21,0.5,-5.19,0.36,"nan","nan","nan",6,51,146,1667.0,0.437,11.25,0.21,0.14,0.01,9.045,"nan","nan",3.96,1.95,10.87,3.77,0.7,0.41,"AIPk","nan","nan","nan","nan"
"MWSC_4486","nan","nan",291.0,-60.725,335.952,-27.341,0.02,0.115,0.18,5.19,-7.74,0.87,"nan","nan","nan",4,37,65,2228.0,0.187,11.8,0.09,0.06,0.0,9.3,"nan","nan",1.35,0.42,10.71,3.54,3.03,0.61,"AIPk","nan","nan","nan","nan"
"MWSC_4498","nan","nan",293.002,-46.435,351.937,-25.997,0.02,0.095,0.155,1.52,-6.69,0.79,"nan","nan","nan",4,34,72,1537.0,0.208,11.0,0.1,0.067,0.02,9.36,"nan","nan",0.85,0.43,6.71,3.51,3.08,0.95,"AIPk","nan","nan","nan","nan"
"MWSC_4500","nan","nan",293.34,-33.235,5.964,-22.657,0.018,0.085,0.15,6.05,-1.24,1.08,"nan","nan","nan",4,32,68,1423.0,0.416,10.9,0.2,0.133,0.02,9.2,"nan","nan",0.55,0.2,6.98,2.85,8.4,2.69,"AIPk","nan","nan","nan","nan"
"MWSC_4511","nan","nan",295.41,-24.455,15.539,-21.39,0.02,0.1,0.17,1.71,-4.23,0.42,"nan","nan","nan",4,31,72,3957.0,0.042,13.0,0.02,0.013,0.0,9.5,"nan","nan",4.23,2.07,17.59,7.3,0.16,0.06,"AIPk","nan","nan","nan","nan"
"MWSC_4545","nan","nan",301.957,-49.86,349.127,-32.426,0.022,0.125,0.225,1.89,-3.66,0.81,"nan","nan","nan",4,32,87,1070.0,0.167,10.2,0.08,0.053,0.0,9.31,"nan","nan",0.93,0.28,5.52,1.5,5.65,1.28,"AIPk","nan","nan","nan","nan"
"MWSC_4547","nan","nan",303.052,1.525,43.847,-17.151,0.02,0.105,0.165,-0.56,-1.95,0.45,"nan","nan","nan",3,28,50,4298.0,0.104,13.2,0.05,0.033,0.0,9.2,"nan","nan",5.17,1.92,17.72,5.2,0.4,0.13,"AIPk","nan","nan","nan","nan"
"MWSC_4555","nan","nan",304.387,-11.35,32.229,-24.195,0.02,0.17,0.25,7.11,-10.35,0.32,"nan","nan","nan",4,66,116,1740.0,0.146,11.25,0.07,0.047,0.0,9.505,0.056,8.0,1.26,0.45,11.13,4.29,3.02,0.69,"AIPk","nan","nan","nan","nan"
"MWSC_4561","nan","nan",305.97,5.9,49.34,-17.49,0.02,0.11,0.185,-3.11,-11.7,0.42,"nan","nan","nan",2,26,63,1968.0,0.25,11.55,0.12,0.08,0.0,9.4,0.028,6.0,1.67,0.48,11.18,3.27,3.56,0.49,"AIPk","nan","nan","nan","nan"
"MWSC_4572","nan","nan",307.747,-15.175,29.803,-28.735,0.025,0.125,0.19,3.57,-3.39,0.43,"nan","nan","nan",5,34,68,1402.0,0.208,10.8,0.1,0.067,0.0,9.34,0.032,3.0,1.73,1.23,8.43,5.57,0.61,0.25,"AIPk","nan","nan","nan","nan"
"MWSC_4602","nan","nan",315.69,10.765,59.287,-22.88,0.018,0.13,0.23,3.11,-3.62,0.4,"nan","nan","nan",4,28,81,1274.0,0.229,10.6,0.11,0.073,-0.02,8.785,"nan",1.0,0.57,0.24,7.99,3.76,8.23,3.04,"AIPk","nan","nan","nan","nan"
"MWSC_4606","nan","nan",316.53,-11.47,37.884,-35.042,0.03,0.15,0.245,2.55,-4.59,0.57,"nan","nan","nan",3,23,38,956.0,0.271,9.99,0.13,0.087,0.0,9.385,"nan","nan",0.86,0.23,5.39,1.45,9.66,1.77,"AIPk","nan","nan","nan","nan"
"MWSC_4622","nan","nan",321.51,-17.75,32.917,-41.939,0.025,0.13,0.24,2.27,-8.49,0.58,"nan","nan","nan",3,14,31,1075.0,0.208,10.225,0.1,0.067,0.0,9.3,"nan","nan",0.63,0.34,7.65,4.68,4.25,1.8,"AIPk","nan","nan","nan","nan"
"MWSC_4668","nan","nan",344.235,-77.17,310.708,-38.172,0.03,0.125,0.18,8.19,-5.04,1.17,"nan","nan","nan",2,15,22,775.0,0.167,9.5,0.08,0.053,-0.02,9.1,"nan","nan",0.49,0.25,3.7,2.01,8.09,2.71,"AIPk","nan","nan","nan","nan"
"MWSC_4674","nan","nan",350.535,84.01,120.487,21.563,0.025,0.14,0.21,-2.25,0.1,0.45,"nan","nan","nan",2,32,63,1166.0,0.208,10.4,0.1,0.067,-0.05,9.55,"nan","nan",0.94,0.67,7.44,5.56,1.43,0.57,"AIPk","nan","nan","nan","nan"
"MWSC_4682","nan","nan",355.845,-82.96,305.405,-33.835,0.02,0.115,0.19,5.87,0.28,0.94,"nan","nan","nan",2,22,58,1065.0,0.354,10.25,0.17,0.113,0.0,9.28,0.061,4.0,0.43,0.24,8.27,5.39,5.33,3.02,"AIPk","nan","nan","nan","nan"
"MWSC_4688","nan","nan",357.975,-86.72,303.906,-30.291,0.02,0.1,0.185,3.2,-5.0,1.13,"nan","nan","nan",2,22,57,1336.0,0.219,10.7,0.105,0.07,0.0,9.39,"nan","nan",1.05,0.39,7.01,2.51,2.51,0.67,"AIPk","nan","nan","nan","nan"
