"Cluster","logAge","Nmemb","RAJ2000","s_RAJ2000","DEJ2000","s_DEJ2000","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","dist","s_dist","[Fe/H]","e_[Fe/H]","o_[Fe/H]","[O/Fe]","e_[O/Fe]","o_[O/Fe]","[Na/Fe]","e_[Na/Fe]","o_[Na/Fe]","[Mg/Fe]","e_[Mg/Fe]","o_[Mg/Fe]","[Al/Fe]","e_[Al/Fe]","o_[Al/Fe]","[Si/Fe]","e_[Si/Fe]","o_[Si/Fe]","[Ca/Fe]","e_[Ca/Fe]","o_[Ca/Fe]","[Ti/Fe]","e_[Ti/Fe]","o_[Ti/Fe]","[V/Fe]","e_[V/Fe]","o_[V/Fe]","[Cr/Fe]","e_[Cr/Fe]","o_[Cr/Fe]","[Mn/Fe]","e_[Mn/Fe]","o_[Mn/Fe]","[Co/Fe]","e_[Co/Fe]","o_[Co/Fe]","[Ni/Fe]","e_[Ni/Fe]","o_[Ni/Fe]","[Cu/Fe]","e_[Cu/Fe]","o_[Cu/Fe]","[Zn/Fe]","e_[Zn/Fe]","o_[Zn/Fe]","[Y/Fe]","e_[Y/Fe]","o_[Y/Fe]","[Zr/Fe]","e_[Zr/Fe]","o_[Zr/Fe]","[Ba/Fe]","e_[Ba/Fe]","o_[Ba/Fe]","[La/Fe]","e_[La/Fe]","o_[La/Fe]","[Nd/Fe]","e_[Nd/Fe]","o_[Nd/Fe]","[Eu/Fe]","e_[Eu/Fe]","o_[Eu/Fe]"
"NGC_1027",8.29,387,40.676502,0.412318,61.61639,0.184763,0.882,0.057,-1.748,0.161,2.117,0.2,1.14,0.082,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1193",9.71,215,46.486046,0.039845,44.383205,0.029552,0.174,0.135,-0.105,0.339,-0.355,0.275,4.065,1.209,-0.32,0.012,1.0,0.181,0.021,1.0,-0.036,0.065,1.0,0.069,0.017,1.0,0.284,0.03,1.0,0.067,0.016,1.0,0.129,0.022,1.0,0.171,0.029,1.0,0.051,0.082,1.0,"nan","nan","nan",-0.032,0.027,1.0,-0.03,0.064,1.0,0.067,0.022,1.0,0.099,0.058,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1245",9.08,452,48.68924,0.173375,47.235226,0.104617,0.286,0.05,0.502,0.11,-1.576,0.088,3.441,0.55,-0.079,0.021,24.0,0.087,0.011,1.0,0.117,0.136,24.0,-0.035,0.026,24.0,0.01,0.04,23.0,-0.062,0.015,23.0,0.033,0.032,24.0,-0.02,0.043,24.0,0.222,0.042,1.0,"nan","nan","nan",0.031,0.023,24.0,0.105,0.163,21.0,0.001,0.017,24.0,-0.116,0.102,24.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1333",7.06,54,52.297009,0.140273,31.309998,0.091854,3.305,0.284,7.352,0.816,-9.962,0.583,0.303,0.032,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_136",8.41,78,7.895117,0.06937,61.507198,0.042521,0.184,0.056,-1.629,0.088,-0.513,0.087,4.86,1.07,-0.23,0.009,1.0,"nan","nan","nan",-0.062,0.047,1.0,-0.029,0.012,1.0,-0.106,0.02,1.0,-0.056,0.012,1.0,0.048,0.015,1.0,0.128,0.023,1.0,"nan","nan","nan","nan","nan","nan",0.039,0.018,1.0,0.113,0.049,1.0,-0.053,0.015,1.0,0.264,0.041,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1647",8.56,606,71.483093,0.483126,19.085285,0.42708,1.676,0.084,-1.046,0.275,-1.52,0.261,0.6,0.031,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1664",8.71,311,72.759315,0.133553,43.676826,0.095493,0.732,0.072,1.725,0.246,-5.721,0.171,1.377,0.147,-0.031,0.008,1.0,"nan","nan","nan",0.135,0.042,1.0,-0.075,0.011,1.0,-0.02,0.02,1.0,-0.025,0.011,1.0,0.029,0.013,1.0,-0.023,0.021,1.0,"nan","nan","nan","nan","nan","nan",0.038,0.015,1.0,0.113,0.043,1.0,0.022,0.013,1.0,-0.058,0.036,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1750",8.41,425,75.939613,0.515559,23.690382,0.462275,1.359,0.098,-0.939,0.258,-2.386,0.212,0.741,0.057,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1798",9.22,184,77.91452,0.062609,47.689835,0.03784,0.18,0.067,0.913,0.141,-0.301,0.127,4.788,1.114,-0.267,0.007,6.0,0.096,0.041,5.0,0.243,0.051,5.0,0.019,0.006,5.0,0.072,0.024,5.0,0.012,0.021,5.0,0.132,0.014,5.0,0.018,0.029,5.0,0.103,0.09,5.0,"nan","nan","nan",-0.013,0.009,5.0,-0.145,0.109,4.0,0.006,0.016,5.0,-0.006,0.041,5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1817",9.05,426,78.136734,0.173639,16.695831,0.159439,0.553,0.055,0.493,0.135,-0.882,0.096,1.818,0.184,-0.142,0.091,4.0,0.032,0.274,3.0,0.196,0.052,4.0,-0.05,0.063,4.0,0.018,0.053,4.0,-0.051,0.141,4.0,0.163,0.138,4.0,0.008,0.045,4.0,0.134,0.187,3.0,0.093,0.086,3.0,0.056,0.129,4.0,-0.073,0.073,4.0,0.029,0.034,3.0,-0.183,0.091,4.0,-0.185,0.054,1.0,0.314,0.203,3.0,0.165,0.149,2.0,0.81,0.092,3.0,0.083,0.053,3.0,0.218,0.054,2.0,-0.067,0.052,3.0
"NGC_1857",8.4,125,80.031517,0.060131,39.339691,0.050301,0.314,0.039,0.556,0.11,-1.32,0.119,3.126,0.37,-0.174,0.034,2.0,"nan","nan","nan",0.015,0.041,2.0,-0.072,0.003,2.0,-0.101,0.084,2.0,-0.041,0.006,2.0,0.04,0.027,2.0,0.064,0.071,2.0,"nan","nan","nan","nan","nan","nan",0.052,0.04,2.0,-0.117,0.113,2.0,-0.032,0.017,2.0,0.239,0.131,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_188",9.85,884,11.790829,2.014387,85.243805,0.132048,0.509,0.05,-2.303,0.182,-0.953,0.167,1.974,0.2,0.088,0.032,18.0,0.074,0.044,14.0,0.07,0.143,16.0,0.057,0.018,17.0,0.233,0.115,17.0,0.059,0.053,17.0,0.103,0.035,17.0,-0.013,0.029,17.0,0.3,0.113,15.0,"nan","nan","nan",0.083,0.031,17.0,0.043,0.089,16.0,0.151,0.058,17.0,0.074,0.033,14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1901",8.95,77,79.579895,0.917221,-68.355354,0.491438,2.354,0.054,1.584,0.224,12.702,0.251,0.426,0.01,-0.145,0.039,5.0,0.155,0.083,2.0,0.024,0.024,2.0,-0.091,0.082,2.0,-0.045,0.058,2.0,0.041,0.07,2.0,0.107,0.08,2.0,0.098,0.051,1.0,"nan","nan","nan",-0.033,0.054,1.0,-0.103,0.017,2.0,"nan","nan","nan","nan","nan","nan",-0.186,0.073,1.0,-0.187,0.036,2.0,-0.038,0.06,2.0,"nan","nan","nan",0.233,0.061,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1907",8.77,278,82.032486,0.084537,35.329174,0.074539,0.61,0.062,-0.045,0.15,-3.423,0.137,1.647,0.176,-0.079,0.009,3.0,-0.157,0.016,1.0,0.14,0.064,3.0,-0.036,0.006,3.0,-0.022,0.012,3.0,-0.04,0.012,3.0,0.041,0.021,3.0,0.007,0.03,3.0,"nan","nan","nan","nan","nan","nan",0.027,0.008,3.0,0.057,0.103,3.0,-0.001,0.009,3.0,0.067,0.035,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1912",8.47,530,82.174568,0.172943,35.818817,0.150833,0.868,0.065,1.589,0.179,-4.423,0.157,1.158,0.094,-0.129,0.012,2.0,"nan","nan","nan",0.078,0.008,2.0,-0.079,0.01,2.0,-0.071,0.007,2.0,-0.057,0.006,2.0,0.031,0.009,2.0,0.047,0.008,2.0,"nan","nan","nan","nan","nan","nan",0.058,0.004,2.0,0.002,0.001,2.0,-0.024,0.001,2.0,0.095,0.035,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1977",7.99,204,83.814407,0.120615,-4.809523,0.162437,2.524,0.088,1.228,0.424,-0.733,0.542,0.396,0.014,-0.338,0.165,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1980",7.12,164,83.798859,0.110329,-5.918983,0.187313,2.585,0.068,1.221,0.189,0.535,0.224,0.387,0.011,-0.075,0.092,7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2112",9.32,700,88.452499,0.171776,0.401254,0.181961,0.876,0.072,-2.695,0.226,4.272,0.226,1.152,0.101,-0.111,0.018,3.0,0.062,0.11,1.0,0.108,0.041,1.0,-0.107,0.055,1.0,0.176,0.057,1.0,-0.014,0.047,1.0,0.143,0.062,1.0,0.02,0.041,1.0,0.311,0.088,1.0,0.023,0.06,1.0,0.119,0.058,1.0,-0.003,0.052,1.0,0.06,0.063,1.0,-0.118,0.047,1.0,-0.198,0.081,1.0,0.003,0.101,1.0,0.267,0.132,1.0,0.233,0.071,1.0,0.049,0.069,1.0,0.278,0.073,1.0,-0.021,0.085,1.0
"NGC_2158",9.19,1318,91.861725,0.048875,24.09939,0.046474,0.189,0.113,-0.189,0.206,-2.015,0.184,4.229,1.085,-0.211,0.008,2.0,0.19,0.013,1.0,0.202,0.044,1.0,0.049,0.012,1.0,0.198,0.02,1.0,0.054,0.011,1.0,0.094,0.013,1.0,-0.031,0.018,1.0,0.234,0.05,1.0,"nan","nan","nan",-0.03,0.017,1.0,-0.037,0.039,1.0,0.046,0.014,1.0,-0.038,0.037,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2168",8.17,1268,92.270485,0.340405,24.337984,0.361645,1.13,0.069,2.293,0.254,-2.909,0.239,0.888,0.059,-0.051,0.015,3.0,"nan","nan","nan","nan","nan","nan",-0.041,0.016,3.0,-0.128,0.109,3.0,-0.045,0.079,3.0,0.117,0.052,3.0,0.49,0.069,1.0,"nan","nan","nan","nan","nan","nan",-0.076,0.058,3.0,0.299,0.25,3.0,-0.088,0.013,3.0,0.082,0.121,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2183",7.24,83,92.692604,0.161437,-6.218617,0.126294,1.171,0.102,-3.649,0.388,0.388,0.289,0.861,0.086,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2204",9.32,532,93.881569,0.101138,-18.671167,0.091199,0.21,0.069,-0.555,0.131,1.977,0.14,4.319,0.935,-0.27,0.029,23.0,0.07,0.153,17.0,0.211,0.08,18.0,-0.011,0.036,18.0,0.051,0.124,18.0,0.032,0.073,18.0,0.121,0.08,18.0,0.01,0.07,17.0,0.207,0.232,10.0,-0.014,0.111,12.0,-0.023,0.109,18.0,-0.015,0.123,18.0,-0.01,0.11,18.0,-0.028,0.167,18.0,0.197,0.248,11.0,0.568,0.365,9.0,0.086,0.22,6.0,0.636,0.161,10.0,0.169,0.251,10.0,0.275,0.204,8.0,0.124,0.119,10.0
"NGC_2215",8.84,116,95.200577,0.1932,-7.27114,0.202645,1.023,0.057,0.428,0.143,-3.669,0.159,0.981,0.057,-0.087,0.064,1.0,-0.058,0.112,1.0,0.01,0.042,1.0,0.117,0.057,1.0,-0.121,0.058,1.0,0.022,0.048,1.0,0.063,0.063,1.0,-0.01,0.052,1.0,"nan","nan","nan",-0.062,0.062,1.0,-0.009,0.059,1.0,"nan","nan","nan",-0.127,0.07,1.0,-0.178,0.058,1.0,-0.044,0.077,1.0,0.004,0.104,1.0,"nan","nan","nan",0.183,0.073,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2232",7.25,198,96.916786,0.480584,-4.749061,0.489035,3.072,0.123,-4.738,0.294,-1.906,0.274,0.327,0.013,-0.121,0.037,3.0,0.214,0.126,3.0,0.111,0.018,2.0,-0.166,0.122,3.0,0.194,0.154,2.0,0.122,0.029,3.0,0.149,0.019,3.0,-0.032,0.026,1.0,"nan","nan","nan","nan","nan","nan",-0.062,0.033,3.0,-0.057,0.128,1.0,-0.066,0.02,1.0,0.024,0.061,1.0,-0.181,0.058,2.0,0.067,0.038,2.0,"nan","nan","nan",0.128,0.091,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2243",9.64,508,97.394211,0.05601,-31.282291,0.049253,0.216,0.059,-1.285,0.138,5.494,0.144,4.343,0.848,-0.472,0.041,10.0,0.203,0.189,10.0,0.198,0.161,10.0,0.054,0.145,10.0,0.054,0.14,10.0,0.031,0.101,10.0,0.049,0.125,10.0,0.037,0.118,9.0,0.249,0.128,6.0,0.011,0.113,6.0,0.068,0.126,9.0,-0.034,0.122,9.0,-0.011,0.116,10.0,0.035,0.145,10.0,0.285,0.089,5.0,0.103,0.227,6.0,0.281,0.542,2.0,0.473,0.1,6.0,0.258,0.145,6.0,0.466,0.094,3.0,0.242,0.189,7.0
"NGC_2264",7.44,172,100.217484,0.06311,9.868549,0.064532,1.351,0.086,-1.639,0.356,-3.748,0.225,0.743,0.05,-0.278,0.151,4.0,0.426,0.014,1.0,"nan","nan","nan",-0.106,0.011,1.0,0.148,0.017,1.0,-0.041,0.01,1.0,0.227,0.012,1.0,-0.035,0.024,1.0,"nan","nan","nan","nan","nan","nan",-0.067,0.022,1.0,-0.454,0.12,1.0,-0.182,0.018,1.0,0.082,0.055,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2304",8.96,109,103.803352,0.04766,17.981575,0.041012,0.225,0.066,-0.032,0.123,-1.526,0.114,4.185,0.91,-0.159,0.061,5.0,0.017,0.061,3.0,0.027,0.074,5.0,-0.032,0.026,5.0,0.081,0.072,5.0,-0.014,0.031,5.0,0.08,0.018,5.0,0.072,0.054,5.0,0.188,0.001,2.0,"nan","nan","nan",0.012,0.028,5.0,-0.066,0.203,5.0,-0.001,0.026,5.0,0.03,0.052,5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2311",7.65,94,104.44986,0.059957,-4.609047,0.058811,0.463,0.068,-1.284,0.192,0.945,0.133,2.196,0.322,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2318",8.64,128,104.852844,0.169997,-13.820499,0.195997,0.712,0.043,-1.785,0.131,-2.179,0.12,1.409,0.087,-0.033,0.008,1.0,"nan","nan","nan",0.134,0.041,1.0,-0.07,0.011,1.0,-0.049,0.019,1.0,-0.039,0.011,1.0,0.045,0.012,1.0,-0.021,0.02,1.0,"nan","nan","nan","nan","nan","nan",0.049,0.015,1.0,0.06,0.042,1.0,0.015,0.013,1.0,0.078,0.035,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2324",8.73,252,106.033295,0.074134,1.046308,0.083407,0.187,0.052,-0.309,0.095,-0.101,0.087,4.824,0.939,-0.196,0.039,5.0,0.001,0.106,2.0,0.189,0.062,4.0,-0.036,0.039,4.0,-0.021,0.11,4.0,-0.014,0.028,4.0,0.067,0.029,4.0,0.056,0.083,4.0,0.418,0.041,1.0,"nan","nan","nan",0.031,0.019,4.0,-0.089,0.176,4.0,-0.004,0.032,4.0,0.101,0.067,4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2353",8.01,210,108.641472,0.123508,-10.260757,0.12171,0.823,0.058,-1.106,0.153,0.729,0.145,1.22,0.086,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2420",9.24,400,114.601151,0.051687,21.576378,0.053937,0.362,0.064,-1.195,0.159,-2.133,0.136,2.756,0.464,-0.185,0.029,16.0,0.012,0.084,10.0,0.03,0.116,15.0,0.0,0.018,15.0,0.062,0.017,15.0,-0.007,0.014,15.0,0.089,0.023,15.0,0.027,0.063,15.0,0.321,0.122,2.0,"nan","nan","nan",0.012,0.019,15.0,-0.137,0.085,12.0,-0.011,0.028,15.0,0.016,0.051,14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2447",8.76,717,116.141243,0.227326,-23.850883,0.225555,0.973,0.061,-3.578,0.185,5.062,0.179,1.029,0.066,-0.084,0.01,3.0,"nan","nan","nan",0.136,0.011,3.0,-0.021,0.002,3.0,0.006,0.015,3.0,-0.041,0.005,3.0,0.052,0.002,3.0,-0.025,0.013,3.0,"nan","nan","nan","nan","nan","nan",0.05,0.004,3.0,0.045,0.022,3.0,-0.013,0.004,3.0,-0.002,0.028,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2479",8.99,130,118.762215,0.074089,-17.734764,0.092299,0.622,0.068,-4.324,0.113,1.056,0.079,1.617,0.206,-0.032,0.008,1.0,"nan","nan","nan",0.125,0.041,1.0,-0.052,0.011,1.0,-0.023,0.019,1.0,-0.047,0.011,1.0,0.041,0.012,1.0,-0.011,0.019,1.0,"nan","nan","nan","nan","nan","nan",0.055,0.015,1.0,0.043,0.041,1.0,0.023,0.013,1.0,-0.019,0.035,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2506",9.22,1476,120.009354,0.101014,-10.773321,0.095859,0.294,0.084,-2.571,0.166,3.914,0.124,3.318,0.722,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2516",8.38,923,119.518448,0.719327,-60.800911,0.339512,2.415,0.049,-4.685,0.456,11.201,0.377,0.414,0.009,-0.079,0.025,2.0,0.261,0.082,1.0,-0.003,0.029,1.0,-0.006,0.038,1.0,-0.024,0.04,1.0,0.01,0.034,1.0,0.07,0.045,1.0,-0.062,0.038,1.0,"nan","nan","nan",-0.044,0.041,1.0,-0.016,0.038,1.0,"nan","nan","nan",-0.047,0.057,1.0,-0.2,0.038,1.0,0.026,0.048,1.0,0.146,0.068,1.0,"nan","nan","nan",0.298,0.05,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_2539",8.84,491,122.656174,0.193719,-12.832067,0.207167,0.759,0.064,-2.334,0.139,-0.587,0.151,1.323,0.114,0.075,0.062,1.0,-0.308,0.112,1.0,0.135,0.042,1.0,-0.13,0.056,1.0,-0.063,0.058,1.0,-0.091,0.048,1.0,0.021,0.063,1.0,-0.028,0.054,1.0,0.33,0.126,1.0,0.056,0.061,1.0,0.044,0.059,1.0,-0.185,0.053,1.0,-0.017,0.064,1.0,-0.098,0.047,1.0,0.148,0.091,1.0,0.156,0.123,1.0,0.294,0.082,1.0,0.56,0.072,1.0,-0.054,0.082,1.0,0.34,0.128,1.0,-0.106,0.086,1.0
"NGC_2548",8.59,469,123.401825,0.378919,-5.724419,0.367111,1.287,0.068,-1.309,0.216,1.022,0.217,0.78,0.044,0.009,0.057,3.0,-0.011,0.072,3.0,0.205,0.011,3.0,-0.047,0.019,3.0,0.045,0.019,3.0,-0.012,0.025,3.0,0.229,0.059,3.0,-0.002,0.038,3.0,0.096,0.09,2.0,0.051,0.015,3.0,0.067,0.029,3.0,-0.086,0.04,3.0,0.067,0.036,3.0,-0.081,0.046,3.0,-0.035,0.059,3.0,0.449,0.061,3.0,0.191,0.044,2.0,0.652,0.048,3.0,0.031,0.017,3.0,0.219,0.025,1.0,-0.056,0.035,3.0
"NGC_2632",8.83,798,130.054382,0.928829,19.618279,0.84758,5.347,0.155,-36.142,1.174,-12.951,0.942,0.186,0.006,0.133,0.041,35.0,-0.043,0.076,33.0,0.043,0.08,34.0,-0.116,0.035,34.0,-0.008,0.031,34.0,-0.034,0.039,33.0,0.047,0.052,32.0,-0.031,0.051,34.0,-0.03,0.085,22.0,-0.023,0.041,34.0,0.04,0.03,34.0,-0.128,0.126,16.0,-0.036,0.046,31.0,-0.046,0.076,34.0,-0.048,0.052,33.0,-0.006,0.08,34.0,0.005,0.055,6.0,0.039,0.064,34.0,0.212,0.08,8.0,"nan","nan","nan","nan","nan","nan"
"NGC_2682",9.63,733,132.841385,0.162597,11.816189,0.16224,1.136,0.054,-10.985,0.209,-2.961,0.217,0.882,0.042,0.001,0.056,128.0,0.063,0.151,98.0,0.05,0.108,106.0,-0.003,0.072,128.0,0.035,0.11,129.0,0.005,0.132,129.0,0.053,0.07,126.0,0.002,0.115,113.0,0.141,0.222,65.0,0.006,0.098,96.0,0.028,0.08,123.0,0.297,0.363,103.0,-0.006,0.095,127.0,0.026,0.106,122.0,0.049,0.138,97.0,0.026,0.175,93.0,0.066,0.247,33.0,0.055,0.154,98.0,0.165,0.229,51.0,0.242,0.157,28.0,-0.005,0.108,18.0
"NGC_3228",7.48,130,155.333557,0.773772,-51.807297,0.522726,2.032,0.086,-14.856,0.326,-0.662,0.268,0.492,0.022,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_366",7.41,130,16.623985,0.068104,62.218163,0.033034,0.345,0.066,-2.071,0.139,-0.414,0.126,2.88,0.474,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
