"Cluster","RA_ICRS","DE_ICRS","logA","e_logA","E_logA","elogA","Dist","e_Dist","E_Dist","eDist","AV","e_AV","E_AV","eAV","AGTO","e_AGTO","E_AGTO","Fe/H","r_Fe/H"
"Blanco1             ",0.853,-29.958,7.975,7.998,7.943,0.012,6.876,6.876,6.876,0.0,0.031,0.031,0.031,0.0,0.03,0.03,0.03,0.0,"       HRS"
"IC2391              ",130.292,-52.991,7.561,7.583,7.54,0.011,5.908,5.908,5.908,0.0,0.093,0.093,0.093,0.0,0.091,0.091,0.091,0.0,"       HRS"
"IC2602              ",160.613,-64.426,7.547,7.563,7.533,0.008,5.914,5.914,5.914,0.0,0.096,0.096,0.096,0.0,0.094,0.094,0.094,0.0,"       HRS"
"IC2714              ",169.373,-62.719,8.55,8.55,8.55,0.0,10.711,10.72,10.704,0.008,0.991,1.0,0.984,0.008,0.967,0.976,0.96,0.02,"       HRS"
"IC4665              ",266.554,5.615,7.581,7.636,7.55,0.027,7.45,7.495,7.395,0.05,0.397,0.43,0.364,0.033,0.388,0.42,0.355,-0.03,"       HRS"
"IC4756              ",279.649,5.435,8.987,8.992,8.973,0.003,8.401,8.401,8.401,0.0,0.397,0.397,0.397,0.0,0.388,0.388,0.388,0.0,"       HRS"
"Melotte20           ",51.617,48.975,7.938,7.944,7.933,0.003,5.824,5.842,5.804,0.019,0.055,0.073,0.038,0.018,0.054,0.071,0.037,0.14,"       HRS"
"Melotte22           ",56.601,24.114,7.937,7.966,7.925,0.015,5.667,5.667,5.667,0.0,0.14,0.14,0.14,0.0,0.137,0.137,0.137,0.0,"       HRS"
"Melotte71           ",114.383,-12.065,9.112,9.131,9.081,0.01,11.548,11.56,11.532,0.014,0.483,0.501,0.465,0.018,0.471,0.489,0.454,-0.27,"       HRS"
"NGC188             ",11.798,85.244,9.877,9.878,9.876,0.0,11.114,11.13,11.098,0.016,0.079,0.09,0.068,0.011,0.077,0.088,0.066,0.11,"       HRS"
"NGC752             ",29.223,37.794,9.17,9.172,9.169,0.001,8.091,8.111,8.072,0.02,0.157,0.171,0.142,0.015,0.153,0.167,0.139,-0.03,"       HRS"
"NGC1039             ",40.531,42.722,8.101,8.207,8.078,0.053,8.552,8.552,8.552,0.0,0.239,0.239,0.239,0.0,0.233,0.233,0.233,0.0,"       HRS"
"NGC1545             ",65.202,50.221,8.019,8.033,7.999,0.007,9.222,9.247,9.197,0.025,0.917,0.941,0.895,0.023,0.895,0.919,0.874,-0.06,"       HRS"
"NGC1662             ",72.198,10.882,8.957,8.982,8.931,0.012,7.84,7.868,7.81,0.029,0.615,0.641,0.592,0.025,0.6,0.626,0.578,-0.11,"       HRS"
"NGC1901             ",79.561,-68.294,8.918,8.948,8.891,0.015,8.059,8.087,8.032,0.027,0.146,0.168,0.123,0.023,0.143,0.164,0.12,-0.08,"       HRS"
"NGC1912             ",82.167,35.824,8.706,8.722,8.693,0.008,10.079,10.097,10.061,0.018,0.642,0.657,0.626,0.016,0.627,0.641,0.611,-0.1,"       HRS"
"NGC2168             ",92.272,24.336,8.605,8.607,8.604,0.001,9.329,9.343,9.321,0.011,0.467,0.473,0.458,0.007,0.456,0.462,0.447,-0.21,"       LRS"
"NGC2251             ",98.68,8.337,8.489,8.535,8.47,0.023,10.713,10.738,10.687,0.026,0.717,0.742,0.692,0.025,0.7,0.724,0.675,-0.09,"       HRS"
"NGC2287             ",101.499,-20.716,8.486,8.503,8.351,0.008,9.085,9.098,9.069,0.015,0.059,0.069,0.052,0.009,0.058,0.067,0.051,-0.11,"       HRS"
"NGC2420             ",114.602,21.575,9.271,9.276,9.219,0.002,12.049,12.076,12.021,0.027,0.187,0.216,0.168,0.024,0.183,0.211,0.164,-0.05,"       HRS"
"NGC2423             ",114.299,-13.863,8.991,8.992,8.99,0.001,9.843,9.857,9.83,0.013,0.291,0.303,0.277,0.013,0.284,0.296,0.27,0.08,"       HRS"
"NGC2425             ",114.577,-14.885,9.333,9.334,9.332,0.0,12.644,12.667,12.62,0.024,0.879,0.895,0.863,0.016,0.858,0.874,0.842,-0.15,"       LRS"
"NGC2447             ",116.141,-23.853,8.747,8.753,8.742,0.003,10.088,10.088,10.088,0.0,0.105,0.105,0.105,0.0,0.102,0.102,0.102,0.0,"       HRS"
"NGC2451A            ",115.736,-38.264,7.647,7.663,7.629,0.008,6.433,6.433,6.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"       GES"
"NGC2451B            ",116.128,-37.954,7.592,7.604,7.576,0.006,7.602,7.631,7.573,0.029,0.208,0.232,0.183,0.025,0.203,0.226,0.179,0.0,"       GES"
"NGC2482             ",118.787,-24.263,8.55,8.615,8.532,0.032,10.572,10.601,10.545,0.028,0.359,0.381,0.334,0.024,0.35,0.372,0.326,-0.07,"       HRS"
"NGC2516             ",119.527,-60.8,8.4,8.405,8.394,0.002,8.091,8.091,8.091,0.0,0.22,0.22,0.22,0.0,0.215,0.215,0.215,0.0,"       HRS"
"NGC2527             ",121.246,-28.122,8.919,8.943,8.909,0.012,8.787,8.808,8.766,0.021,0.195,0.212,0.178,0.017,0.19,0.207,0.174,-0.1,"       HRS"
"NGC2547             ",122.525,-49.198,7.432,7.449,7.414,0.008,7.98,7.98,7.98,0.0,0.124,0.124,0.124,0.0,0.121,0.121,0.121,0.0,"       GES"
"NGC2567             ",124.645,-30.631,8.542,8.586,8.505,0.022,11.269,11.294,11.246,0.024,0.468,0.492,0.446,0.023,0.457,0.48,0.435,-0.04,"       HRS"
"NGC2632             ",130.054,19.621,8.875,8.877,8.871,0.001,6.35,6.35,6.35,0.0,0.084,0.084,0.084,0.0,0.082,0.082,0.082,0.07,"       HRS"
"NGC2682             ",132.846,11.814,9.561,9.563,9.559,0.001,9.726,9.726,9.726,0.0,0.115,0.115,0.115,0.0,0.112,0.112,0.112,0.0,"       HRS"
"NGC3532             ",166.417,-58.707,8.601,8.607,8.597,0.003,8.43,8.43,8.43,0.0,0.068,0.068,0.068,0.0,0.066,0.066,0.066,0.0,"       HRS"
"NGC4349             ",186.048,-61.866,8.451,8.493,8.404,0.021,11.492,11.508,11.476,0.016,1.161,1.176,1.146,0.015,1.133,1.148,1.119,-0.07,"       HRS"
"NGC5822             ",226.051,-54.366,8.95,8.951,8.95,0.001,9.537,9.551,9.522,0.015,0.349,0.36,0.339,0.011,0.341,0.351,0.331,0.08,"       HRS"
"NGC6005             ",238.955,-57.439,8.988,8.99,8.985,0.001,12.073,12.092,12.054,0.019,1.361,1.375,1.347,0.014,1.328,1.342,1.315,0.16,"       GES"
"NGC6087             ",244.721,-57.916,8.046,8.062,8.019,0.008,9.942,9.961,9.921,0.02,0.453,0.472,0.435,0.019,0.442,0.461,0.425,0.21,"       LRS"
"NGC6192             ",250.077,-43.355,8.251,8.252,8.242,0.001,11.219,11.237,11.197,0.02,1.731,1.744,1.715,0.015,1.69,1.702,1.674,0.12,"       HRS"
"NGC6475             ",268.447,-34.841,8.477,8.478,8.477,0.0,7.234,7.234,7.234,0.0,0.152,0.152,0.152,0.0,0.148,0.148,0.148,0.07,"       HRS"
"NGC6494             ",269.237,-18.987,8.68,8.681,8.679,0.0,9.096,9.113,9.081,0.016,0.851,0.864,0.837,0.014,0.831,0.843,0.817,-0.04,"       HRS"
"NGC6633             ",276.845,6.615,8.888,8.894,8.856,0.003,7.866,7.89,7.841,0.024,0.451,0.476,0.431,0.023,0.44,0.465,0.421,-0.08,"       HRS"
"NGC6791             ",290.221,37.778,9.927,9.929,9.925,0.001,13.085,13.091,13.078,0.006,0.302,0.306,0.297,0.005,0.295,0.299,0.29,0.4,"       HRS"
"NGC6811             ",294.34,46.378,8.936,8.948,8.915,0.006,10.277,10.289,10.266,0.011,0.206,0.215,0.199,0.008,0.201,0.21,0.194,0.0,"       HRS"
"NGC6819             ",295.327,40.19,9.301,9.302,9.301,0.0,12.162,12.172,12.151,0.011,0.471,0.477,0.466,0.005,0.46,0.466,0.455,0.0,"       HRS"
"Alessi5             ",160.819,-61.081,7.723,7.74,7.609,0.009,7.721,7.777,7.69,0.043,0.592,0.616,0.562,0.027,0.578,0.601,0.549,-0.133,"       D02"
"Alessi6             ",220.058,-66.127,8.777,8.803,8.744,0.013,9.552,9.575,9.53,0.023,0.719,0.74,0.698,0.021,0.702,0.722,0.681,-0.382,"       K13"
"Alessi24            ",260.764,-62.693,7.945,7.969,7.906,0.012,8.303,8.332,8.277,0.028,0.337,0.363,0.312,0.026,0.329,0.354,0.305,-0.154,"       D02"
"BH99                ",159.553,-59.168,7.908,7.943,7.882,0.017,8.082,8.114,8.056,0.029,0.203,0.225,0.175,0.025,0.198,0.22,0.171,0.0,"       K13"
"Collinder140        ",110.882,-31.966,7.473,7.52,7.429,0.023,7.809,7.86,7.759,0.051,0.105,0.127,0.078,0.025,0.102,0.124,0.076,0.01,"       PHC"
"Czernik27           ",105.83,6.382,9.065,9.084,9.043,0.01,12.969,13.002,12.932,0.035,0.535,0.569,0.507,0.031,0.522,0.555,0.495,-0.38,"       D02"
"IC1369              ",318.033,47.77,8.462,8.464,8.46,0.001,12.543,12.56,12.53,0.015,2.05,2.063,2.037,0.013,2.001,2.014,1.988,0.09,"       D02"
"IC2488              ",141.857,-57.004,8.2,8.225,8.15,0.013,10.627,10.644,10.612,0.016,0.702,0.715,0.689,0.013,0.685,0.698,0.673,0.08,"       PHC"
"IC4725              ",277.937,-19.114,7.984,7.988,7.974,0.002,9.156,9.175,9.137,0.019,1.087,1.103,1.073,0.015,1.061,1.077,1.047,0.0,"       PHC"
"King6               ",51.982,56.444,8.582,8.584,8.465,0.001,9.535,9.553,9.506,0.024,1.106,1.131,1.086,0.023,1.08,1.104,1.06,0.46,"       D02"
"Lynga1              ",209.994,-62.152,7.934,8.216,7.62,0.141,11.762,11.819,11.709,0.055,1.509,1.562,1.452,0.055,1.473,1.525,1.417,0.02,"       PHC"
"NGC381             ",17.094,61.586,8.699,8.775,8.634,0.038,10.525,10.553,10.492,0.031,1.043,1.073,1.014,0.03,1.018,1.047,0.99,0.07,"       D02"
"NGC2215             ",95.199,-7.277,8.786,8.841,8.663,0.027,9.839,9.868,9.812,0.028,0.863,0.896,0.839,0.029,0.842,0.875,0.819,-0.4,"       D02"
"NGC2281             ",102.091,41.06,8.779,8.804,8.706,0.013,8.465,8.486,8.448,0.019,0.137,0.165,0.122,0.022,0.134,0.161,0.119,0.13,"       D02"
"NGC2343             ",107.029,-10.619,7.934,7.96,7.896,0.013,10.07,10.095,10.044,0.026,0.494,0.518,0.471,0.024,0.482,0.506,0.46,0.03,"       PHC"
"NGC2422             ",114.147,-14.489,8.104,8.12,8.087,0.008,8.255,8.275,8.238,0.019,0.197,0.213,0.181,0.016,0.192,0.208,0.177,0.09,"       PHC"
"NGC2546             ",123.082,-37.661,7.962,7.993,7.942,0.016,9.819,9.84,9.798,0.021,0.464,0.48,0.444,0.018,0.453,0.469,0.433,0.01,"       PHC"
"NGC2658             ",130.868,-32.662,8.701,8.71,8.689,0.005,12.871,12.888,12.855,0.016,0.706,0.72,0.692,0.014,0.689,0.703,0.675,-0.01,"       PHC"
"NGC2818             ",139.044,-36.624,8.962,8.963,8.955,0.0,12.491,12.515,12.475,0.02,0.603,0.621,0.588,0.017,0.589,0.606,0.574,-0.17,"       D02"
"NGC2972             ",145.058,-50.326,8.642,8.677,8.599,0.018,11.405,11.435,11.376,0.03,1.198,1.227,1.172,0.028,1.169,1.198,1.144,-0.09,"       PHC"
"NGC3228             ",155.378,-51.814,7.424,7.458,7.415,0.017,8.341,8.366,8.309,0.029,0.131,0.15,0.109,0.021,0.128,0.146,0.106,0.01,"       PHC"
"NGC4609             ",190.582,-62.995,7.523,7.536,7.508,0.006,10.876,10.901,10.86,0.021,1.069,1.089,1.047,0.021,1.043,1.063,1.022,0.05,"       D02"
"NGC5138             ",201.829,-59.023,7.638,7.644,7.631,0.003,11.495,11.518,11.472,0.023,0.755,0.776,0.738,0.019,0.737,0.757,0.72,0.12,"       PHC"
"NGC5281             ",206.614,-62.916,7.669,7.765,7.636,0.048,10.936,10.963,10.913,0.025,0.816,0.839,0.793,0.023,0.796,0.819,0.774,-0.02,"       PHC"
"NGC5316             ",208.516,-61.883,8.184,8.191,8.172,0.004,10.788,10.807,10.767,0.02,0.772,0.788,0.756,0.016,0.754,0.769,0.738,0.13,"       PHC"
"NGC5460             ",211.847,-48.285,8.11,8.239,8.02,0.065,9.25,9.275,9.226,0.024,0.328,0.35,0.307,0.022,0.32,0.342,0.3,0.03,"       PHC"
"NGC5617             ",217.452,-60.719,8.14,8.144,8.134,0.002,11.657,11.672,11.641,0.016,1.592,1.604,1.58,0.012,1.554,1.566,1.542,-0.18,"       D02"
"NGC6025             ",240.779,-60.43,8.096,8.106,8.069,0.005,9.468,9.487,9.451,0.018,0.406,0.423,0.388,0.018,0.396,0.413,0.379,0.19,"       D02"
"NGC6204             ",251.538,-47.027,7.576,7.597,7.557,0.011,10.503,10.53,10.478,0.026,1.291,1.315,1.264,0.026,1.26,1.284,1.234,0.02,"       PHC"
"NGC6208             ",252.336,-53.714,9.223,9.23,9.222,0.003,10.345,10.363,10.325,0.019,0.631,0.643,0.618,0.013,0.616,0.628,0.603,-0.01,"       PHC"
"NGC6716             ",283.616,-19.888,7.932,7.964,7.912,0.016,9.116,9.147,9.081,0.033,0.707,0.737,0.678,0.03,0.69,0.719,0.662,-0.31,"       D02"
"NGC6830             ",297.718,23.101,8.005,8.132,7.815,0.063,11.871,11.9,11.847,0.027,1.514,1.54,1.486,0.027,1.478,1.503,1.45,0.22,"       PHC"
"NGC6866             ",300.983,44.158,8.89,8.927,7.888,0.018,10.64,10.663,10.588,0.038,0.398,0.452,0.375,0.039,0.388,0.441,0.366,-0.013,"       D02"
"NGC6940             ",308.626,28.278,9.01,9.671,8.977,0.331,10.07,10.088,9.957,0.065,0.455,0.476,0.007,0.235,0.444,0.465,0.007,0.15,"       PHC"
"NGC7092             ",322.889,48.247,8.491,8.585,8.403,0.047,7.218,7.251,7.186,0.033,0.049,0.061,0.037,0.012,0.048,0.06,0.036,0.0,"       PHC"
"NGC7209             ",331.224,46.508,8.533,8.571,8.522,0.019,10.336,10.353,10.321,0.016,0.546,0.561,0.532,0.015,0.533,0.548,0.519,0.07,"       PHC"
"NGC7243             ",333.788,49.83,8.006,8.022,7.987,0.008,9.743,9.762,9.725,0.019,0.573,0.592,0.552,0.02,0.559,0.578,0.539,0.03,"       PHC"
"NGC7296             ",337.0,52.321,7.925,8.183,7.84,0.129,12.074,12.1,12.051,0.024,0.709,0.735,0.683,0.026,0.692,0.717,0.667,-0.02,"       PHC"
"Pismis4             ",128.79,-44.407,7.905,7.922,7.861,0.008,9.114,9.135,9.094,0.021,0.093,0.103,0.082,0.011,0.091,0.101,0.08,-0.2,"       D02"
"Ruprecht1           ",99.084,-14.157,8.502,8.642,8.465,0.07,10.787,10.813,10.765,0.024,0.697,0.719,0.674,0.023,0.68,0.702,0.658,-0.25,"       D02"
"Ruprecht93          ",166.037,-61.372,8.519,8.564,8.449,0.023,11.677,11.702,11.654,0.024,0.642,0.666,0.618,0.024,0.627,0.65,0.603,0.01,"       K13"
"Ruprecht115         ",243.215,-52.393,8.474,8.52,8.398,0.023,11.908,11.946,11.871,0.037,2.317,2.353,2.281,0.036,2.262,2.297,2.226,-0.102,"       PHC"
"Ruprecht151         ",115.315,-16.279,8.614,8.641,8.569,0.013,10.359,10.406,10.321,0.043,0.587,0.623,0.544,0.04,0.573,0.608,0.531,0.153,"       D02"
"Trumpler10          ",131.943,-42.566,7.74,7.751,7.721,0.006,7.816,7.844,7.797,0.024,0.138,0.152,0.119,0.017,0.135,0.148,0.116,-0.12,"       PHC"
"Trumpler22          ",217.783,-61.169,7.385,7.412,7.371,0.014,11.869,11.891,11.852,0.019,1.834,1.851,1.816,0.018,1.79,1.807,1.773,-0.17,"       D02"
"ASCC6               ",26.846,57.722,7.677,7.695,7.658,0.009,11.101,11.123,11.079,0.022,0.872,0.893,0.853,0.02,0.851,0.872,0.833,0.0,"        NC"
"ASCC10              ",51.87,34.981,8.599,8.637,8.495,0.019,8.913,8.95,8.879,0.035,0.443,0.477,0.411,0.033,0.432,0.466,0.401,0.0,"        NC"
"ASCC13              ",78.255,44.417,7.647,7.664,7.627,0.008,10.151,10.181,10.121,0.03,0.678,0.701,0.652,0.025,0.662,0.684,0.636,0.0,"        NC"
"ASCC16              ",81.198,1.655,7.047,7.085,7.045,0.019,7.51,7.534,7.45,0.042,0.093,0.108,0.078,0.015,0.091,0.105,0.076,0.0,"        NC"
"ASCC19              ",81.982,-1.987,7.086,7.087,7.085,0.0,7.478,7.513,7.45,0.031,0.056,0.066,0.045,0.011,0.055,0.064,0.044,0.0,"        NC"
"ASCC21              ",82.179,3.527,7.032,7.063,6.96,0.015,7.425,7.507,7.367,0.07,0.118,0.141,0.096,0.023,0.115,0.138,0.094,0.0,"        NC"
"ASCC23              ",95.047,46.71,8.48,8.515,8.44,0.018,8.854,8.881,8.829,0.026,0.283,0.305,0.26,0.023,0.276,0.298,0.254,0.0,"        NC"
"ASCC29              ",103.571,-1.67,7.95,7.985,7.907,0.018,10.05,10.083,10.017,0.033,0.239,0.266,0.211,0.028,0.233,0.26,0.206,0.0,"        NC"
"ASCC32              ",105.714,-26.512,7.404,7.404,7.403,0.0,9.322,9.342,9.29,0.026,0.218,0.233,0.198,0.018,0.213,0.227,0.193,0.0,"        NC"
"ASCC41              ",116.674,0.137,8.04,8.083,7.993,0.022,7.226,7.272,7.184,0.044,0.072,0.091,0.053,0.019,0.07,0.089,0.052,0.0,"        NC"
"ASCC58              ",153.657,-55.001,7.826,7.887,7.745,0.031,8.328,8.362,8.295,0.034,0.309,0.341,0.282,0.03,0.302,0.333,0.275,0.0,"        NC"
"ASCC71              ",185.033,-67.509,8.051,8.059,8.038,0.004,10.546,10.57,10.522,0.024,0.727,0.749,0.704,0.023,0.71,0.731,0.687,0.0,"        NC"
"ASCC101             ",288.399,36.369,8.694,8.757,8.596,0.031,7.878,7.913,7.844,0.035,0.053,0.078,0.03,0.024,0.052,0.076,0.029,0.0,"        NC"
"ASCC105             ",295.548,27.366,7.994,8.013,7.966,0.01,8.568,8.595,8.541,0.027,0.34,0.363,0.317,0.023,0.332,0.354,0.309,0.0,"        NC"
"ASCC108             ",298.306,39.349,7.911,7.926,7.903,0.008,10.149,10.168,10.133,0.018,0.341,0.355,0.327,0.014,0.333,0.347,0.319,0.0,"        NC"
"ASCC113             ",317.933,38.638,8.629,8.677,8.522,0.024,8.613,8.633,8.591,0.021,0.094,0.113,0.077,0.018,0.092,0.11,0.075,0.0,"        NC"
"ASCC114             ",324.99,53.997,7.746,7.746,7.745,0.0,9.759,9.779,9.738,0.021,0.899,0.92,0.879,0.021,0.878,0.898,0.858,0.0,"        NC"
"ASCC115             ",329.28,51.558,8.022,8.187,7.941,0.082,9.246,9.283,9.205,0.039,0.629,0.667,0.59,0.039,0.614,0.651,0.576,0.0,"        NC"
"ASCC128             ",349.949,54.435,8.486,8.575,8.362,0.044,9.047,9.08,9.013,0.034,0.453,0.484,0.421,0.032,0.442,0.472,0.411,0.0,"        NC"
"Alessi1             ",13.343,49.536,8.935,8.976,8.9,0.021,9.255,9.289,9.22,0.034,0.322,0.354,0.291,0.032,0.314,0.346,0.284,0.0,"        NC"
"Alessi2             ",71.602,55.199,8.759,8.803,8.617,0.022,8.846,8.872,8.818,0.027,0.482,0.506,0.455,0.026,0.47,0.494,0.444,0.0,"        NC"
"Alessi8             ",232.408,-51.227,8.137,8.236,8.083,0.05,9.11,9.141,9.079,0.031,0.318,0.346,0.287,0.03,0.31,0.338,0.28,0.0,"        NC"
"Alessi10            ",301.233,-10.555,7.746,7.777,7.698,0.015,8.416,8.474,8.375,0.05,0.423,0.466,0.38,0.043,0.413,0.455,0.371,0.0,"        NC"
"Alessi12            ",310.875,23.871,8.089,8.105,8.067,0.008,8.491,8.514,8.467,0.023,0.215,0.236,0.196,0.02,0.21,0.23,0.191,0.0,"        NC"
"Alessi19            ",274.741,12.311,7.38,7.399,7.366,0.01,8.779,8.813,8.735,0.039,0.158,0.181,0.132,0.025,0.154,0.177,0.129,0.0,"        NC"
"Alessi21            ",107.69,-9.363,7.816,7.839,7.79,0.012,8.631,8.66,8.601,0.029,0.248,0.272,0.225,0.024,0.242,0.265,0.22,0.0,"        NC"
"Alessi60            ",105.619,-1.12,8.338,8.362,8.293,0.012,12.511,12.538,12.484,0.027,0.911,0.936,0.887,0.025,0.889,0.914,0.866,0.0,"        NC"
"Alessi62            ",284.026,21.597,8.964,8.997,8.937,0.016,8.799,8.823,8.776,0.024,0.603,0.627,0.579,0.024,0.589,0.612,0.565,0.0,"        NC"
"AlessiTeutsch3      ",118.228,-53.022,7.986,8.021,7.959,0.018,9.1,9.126,9.075,0.026,0.418,0.439,0.397,0.021,0.408,0.429,0.388,0.0,"        NC"
"AlessiTeutsch12     ",255.421,-58.981,7.977,8.146,7.926,0.085,8.923,8.961,8.886,0.038,0.376,0.406,0.338,0.034,0.367,0.396,0.33,0.0,"        NC"
"BH111               ",167.32,-63.834,8.438,8.689,7.567,0.126,12.062,12.114,12.01,0.052,1.094,1.145,1.043,0.051,1.068,1.118,1.018,0.0,"        NC"
"BH164               ",222.311,-66.465,7.81,7.892,7.605,0.041,7.991,8.045,7.928,0.059,0.381,0.414,0.326,0.044,0.372,0.404,0.318,0.0,"        NC"
"Basel4              ",87.242,30.19,8.135,8.245,7.941,0.055,12.658,12.695,12.622,0.037,1.525,1.562,1.491,0.036,1.489,1.525,1.455,0.0,"        NC"
"Basel11b            ",89.547,21.965,8.482,8.517,8.445,0.018,11.353,11.389,11.321,0.034,1.435,1.465,1.406,0.03,1.401,1.43,1.372,0.0,"        NC"
"Berkeley58          ",0.063,60.937,7.7,7.867,7.531,0.083,12.823,12.851,12.795,0.028,2.049,2.074,2.023,0.025,2.0,2.024,1.975,0.0,"        NC"
"Berkeley61          ",12.04,67.199,8.165,8.466,7.713,0.151,12.545,12.617,12.484,0.067,2.135,2.197,2.062,0.068,2.084,2.144,2.013,0.0,"        NC"
"Bochum3             ",105.86,-5.021,7.576,7.6,7.559,0.012,11.953,11.988,11.924,0.032,0.696,0.725,0.665,0.03,0.679,0.708,0.649,0.0,"        NC"
"Collinder185        ",125.833,-36.349,7.698,7.724,7.684,0.013,10.984,11.01,10.958,0.026,0.692,0.716,0.669,0.024,0.675,0.699,0.653,0.0,"        NC"
"Collinder268        ",199.543,-67.079,8.384,8.463,8.256,0.039,11.938,11.961,11.913,0.024,1.253,1.277,1.23,0.024,1.223,1.246,1.201,0.0,"        NC"
"Collinder292        ",237.41,-57.594,8.697,8.74,8.644,0.022,10.824,10.849,10.804,0.023,0.887,0.906,0.867,0.02,0.866,0.884,0.846,0.0,"        NC"
"Collinder338        ",264.483,-37.657,8.373,8.512,8.078,0.07,9.135,9.167,9.1,0.034,0.664,0.696,0.633,0.032,0.648,0.679,0.618,0.0,"        NC"
"Collinder394        ",283.092,-20.229,7.969,8.032,7.954,0.031,9.227,9.251,9.208,0.021,0.683,0.703,0.662,0.021,0.667,0.686,0.646,0.0,"        NC"
"Collinder463        ",27.031,71.738,8.427,8.436,8.424,0.005,9.53,9.543,9.516,0.013,0.836,0.848,0.823,0.013,0.816,0.828,0.803,0.0,"        NC"
